Orthogroup	c_variabilis_genome_proteins	c_sorokiniana_genome_proteins
OG0002793	XP_005850917.1	PRW55985.1
OG0002794	XP_005844269.1	PRW61582.1
OG0002795	XP_005850633.1	PRW56106.1
OG0002796	XP_005850636.1	PRW56007.1
OG0002797	XP_005850852.1	PRW56228.1
OG0002798	XP_005850560.1	PRW56180.1
OG0002801	XP_005850576.1	PRW56230.1
OG0002802	XP_005850600.1	PRW55973.1
OG0002803	XP_005850882.1	PRW55892.1
OG0002804	XP_005850598.1	PRW56035.1
OG0002805	XP_005850880.1	PRW56239.1
OG0002806	XP_005850884.1	PRW56043.1
OG0002807	XP_005850601.1	PRW55907.1
OG0002808	XP_005850885.1	PRW56234.1
OG0002809	XP_005850602.1	PRW56294.1
OG0002810	XP_005850604.1	PRW56187.1
OG0002811	XP_005850606.1	PRW55936.1
OG0002812	XP_005850547.1	PRW56147.1
OG0002813	XP_005850548.1	PRW56077.1
OG0002814	XP_005850551.1	PRW56221.1
OG0002815	XP_005850839.1	PRW55977.1
OG0002816	XP_005850550.1	PRW55910.1
OG0002817	XP_005850549.1	PRW56326.1
OG0002818	XP_005850836.1	PRW55901.1
OG0002820	XP_005850556.1	PRW56038.1
OG0002821	XP_005850848.1	PRW56138.1
OG0002822	XP_005850683.1	PRW56270.1
OG0002823	XP_005850685.1	PRW56208.1
OG0002824	XP_005850970.1	PRW55991.1
OG0002825	XP_005850913.1	PRW55886.1
OG0002826	XP_005850916.1	PRW56324.1
OG0002827	XP_005850826.1	PRW18296.1
OG0002828	XP_005850531.1	PRW18349.1
OG0002829	XP_005850824.1	PRW18398.1
OG0002830	XP_005850526.1	PRW18365.1
OG0002832	XP_005850821.1	PRW18289.1
OG0002833	XP_005850511.1	PRW18319.1
OG0002834	XP_005850819.1	PRW18323.1
OG0002835	XP_005850522.1	PRW18347.1
OG0002836	XP_005850820.1	PRW18406.1
OG0002837	XP_005850523.1	PRW18397.1
OG0002838	XP_005850514.1	PRW18291.1
OG0002839	XP_005850812.1	PRW18401.1
OG0002841	XP_005850515.1	PRW18314.1
OG0002842	XP_005850814.1	PRW18386.1
OG0002843	XP_005850516.1	PRW18354.1
OG0002844	XP_005850815.1	PRW18373.1
OG0002845	XP_005850817.1	PRW18292.1
OG0002846	XP_005850517.1	PRW18300.1
OG0002847	XP_005850809.1	PRW18313.1
OG0002848	XP_005850806.1	PRW18317.1
OG0002849	XP_005850507.1	PRW18391.1
OG0002850	XP_005850510.1	PRW18389.1
OG0002851	XP_005850508.1	PRW18298.1
OG0002852	XP_005850805.1	PRW18335.1
OG0002853	XP_005850504.1	PRW18402.1
OG0002854	XP_005850797.1	PRW18318.1
OG0002855	XP_005850497.1	PRW18324.1
OG0002856	XP_005850798.1	PRW18416.1
OG0002857	XP_005850501.1	PRW18388.1
OG0002858	XP_005850802.1	PRW18356.1
OG0002859	XP_005850502.1	PRW18331.1
OG0002860	XP_005850803.1	PRW18351.1
OG0002862	XP_005850774.1	PRW18371.1
OG0002863	XP_005850476.1	PRW18334.1
OG0002864	XP_005850778.1	PRW18322.1
OG0002865	XP_005850477.1	PRW18383.1
OG0002866	XP_005850779.1	PRW18390.1
OG0002867	XP_005850478.1	PRW18302.1
OG0002868	XP_005850479.1	PRW18341.1
OG0002869	XP_005850780.1	PRW18343.1
OG0002870	XP_005850482.1	PRW18311.1
OG0002871	XP_005850484.1	PRW18399.1
OG0002872	XP_005846398.1	PRW18417.1
OG0002873	XP_005850784.1	PRW18361.1
OG0002874	XP_005850485.1	PRW18368.1
OG0002875	XP_005846556.1	PRW18293.1
OG0002876	XP_005846397.1	PRW18360.1
OG0002877	XP_005846387.1	PRW59759.1
OG0002878	XP_005848798.1	PRW51014.1
OG0002879	XP_005850487.1	PRW59684.1
OG0002880	XP_005850794.1	PRW18326.1
OG0002881	XP_005850493.1	PRW18342.1
OG0002882	XP_005846649.1	PRW45742.1
OG0002883	XP_005849533.1	PRW59257.1
OG0002884	XP_005843956.1	PRW20678.1
OG0002885	XP_005844461.1	PRW32967.1
OG0002886	XP_005847228.1	PRW44334.1
OG0002887	XP_005849764.1	PRW59094.1
OG0002888	XP_005846607.1	PRW32501.1
OG0002889	XP_005843893.1	PRW20682.1
OG0002890	XP_005844334.1	PRW60977.1
OG0002891	XP_005843229.1	PRW33323.1
OG0002892	XP_005843897.1	PRW20752.1
OG0002893	XP_005843859.1	PRW20740.1
OG0002894	XP_005847579.1	PRW57963.1
OG0002895	XP_005844775.1	PRW21091.1
OG0002896	XP_005843944.1	PRW20730.1
OG0002897	XP_005849905.1	PRW59434.1
OG0002898	XP_005843866.1	PRW20607.1
OG0002899	XP_005845223.1	PRW45519.1
OG0002900	XP_005846404.1	PRW59753.1
OG0002901	XP_005851830.1	PRW60590.1
OG0002902	XP_005846626.1	PRW45542.1
OG0002903	XP_005843951.1	PRW20672.1
OG0002904	XP_005843955.1	PRW20629.1
OG0002905	XP_005843911.1	PRW20646.1
OG0002906	XP_005843870.1	PRW20700.1
OG0002907	XP_005843950.1	PRW20665.1
OG0002908	XP_005847523.1	PRW44576.1
OG0002909	XP_005849365.1	PRW57946.1
OG0002910	XP_005843974.1	PRW20696.1
OG0002911	XP_005851566.1	PRW58631.1
OG0002913	XP_005847930.1	PRW58232.1
OG0002915	XP_005843946.1	PRW20749.1
OG0002916	XP_005843947.1	PRW20694.1
OG0002918	XP_005848198.1	PRW20892.1
OG0002919	XP_005848197.1	PRW20900.1
OG0002920	XP_005844425.1	PRW61193.1
OG0002921	XP_005847944.1	PRW57116.1
OG0002922	XP_005848104.1	PRW57026.1
OG0002923	XP_005848192.1	PRW20798.1
OG0002924	XP_005848280.1	PRW59528.1
OG0002925	XP_005848025.1	PRW20793.1
OG0002926	XP_005845160.1	PRW45738.1
OG0002927	XP_005848021.1	PRW20803.1
OG0002928	XP_005848191.1	PRW20958.1
OG0002929	XP_005848022.1	PRW20821.1
OG0002930	XP_005847942.1	PRW57448.1
OG0002931	XP_005848103.1	PRW57173.1
OG0002932	XP_005847943.1	PRW56982.1
OG0002933	XP_005847946.1	PRW57506.1
OG0002934	XP_005845093.1	PRW45607.1
OG0002935	XP_005848193.1	PRW20820.1
OG0002936	XP_005844322.1	PRW45613.1
OG0002937	XP_005847936.1	PRW57374.1
OG0002938	XP_005848164.1	PRW20809.1
OG0002939	XP_005847922.1	PRW57438.1
OG0002940	XP_005847927.1	PRW56938.1
OG0002941	XP_005843630.1	PRW61008.1
OG0002942	XP_005848078.1	PRW57291.1
OG0002944	XP_005848135.1	PRW20842.1
OG0002945	XP_005847976.1	PRW20829.1
OG0002946	XP_005848081.1	PRW56921.1
OG0002947	XP_005848085.1	PRW57528.1
OG0002948	XP_005847977.1	PRW20857.1
OG0002949	XP_005847978.1	PRW20877.1
OG0002950	XP_005848141.1	PRW20910.1
OG0002951	XP_005847979.1	PRW20902.1
OG0002952	XP_005848142.1	PRW20889.1
OG0002953	XP_005848113.1	PRW20883.1
OG0002954	XP_005847954.1	PRW20786.1
OG0002956	XP_005848117.1	PRW20848.1
OG0002957	XP_005847964.1	PRW20884.1
OG0002958	XP_005848123.1	PRW20959.1
OG0002959	XP_005847959.1	PRW20888.1
OG0002960	XP_005848120.1	PRW20824.1
OG0002961	XP_005848118.1	PRW20843.1
OG0002962	XP_005847957.1	PRW20849.1
OG0002963	XP_005848116.1	PRW20907.1
OG0002964	XP_005848112.1	PRW20933.1
OG0002965	XP_005847935.1	PRW57047.1
OG0002966	XP_005848093.1	PRW57032.1
OG0002967	XP_005848090.1	PRW57279.1
OG0002968	XP_005847095.1	PRW57469.1
OG0002969	XP_005847929.1	PRW57092.1
OG0002970	XP_005848002.1	PRW20819.1
OG0002971	XP_005848165.1	PRW20815.1
OG0002972	XP_005848004.1	PRW20804.1
OG0002973	XP_005848173.1	PRW20780.1
OG0002974	XP_005848008.1	PRW20874.1
OG0002975	XP_005846127.1	PRW20450.1
OG0002976	XP_005848174.1	PRW20878.1
OG0002977	XP_005848038.1	PRW57078.1
OG0002978	XP_005847889.1	PRW57302.1
OG0002979	XP_005848049.1	PRW57411.1
OG0002980	XP_005850451.1	PRW56609.1
OG0002981	XP_005850196.1	PRW56691.1
OG0002982	XP_005850443.1	PRW56666.1
OG0002983	XP_005850185.1	PRW56412.1
OG0002984	XP_005850441.1	PRW56826.1
OG0002986	XP_005850188.1	PRW56699.1
OG0002987	XP_005850445.1	PRW56720.1
OG0002988	XP_005850444.1	PRW56557.1
OG0002989	XP_005850194.1	PRW56648.1
OG0002990	XP_005850454.1	PRW56834.1
OG0002991	XP_005850199.1	PRW56604.1
OG0002992	XP_005850198.1	PRW56855.1
OG0002993	XP_005850452.1	PRW56426.1
OG0002994	XP_005850456.1	PRW59378.1
OG0002996	XP_005850458.1	PRW05866.1
OG0002997	XP_005850457.1	PRW05833.1
OG0002998	XP_005850463.1	PRW05818.1
OG0003000	XP_005850222.1	PRW05827.1
OG0003001	XP_005850475.1	PRW05857.1
OG0003002	XP_005850209.1	PRW05839.1
OG0003003	XP_005850467.1	PRW05844.1
OG0003004	XP_005846810.1	PRW33608.1, PRW45424.1
OG0003005	XP_005850465.1	PRW05865.1
OG0003006	XP_005850220.1	PRW05875.1
OG0003007	XP_005850219.1	PRW05813.1
OG0003008	XP_005850473.1	PRW05841.1
OG0003009	XP_005850472.1	PRW05842.1
OG0003010	XP_005850216.1	PRW05816.1
OG0003011	XP_005850215.1	PRW05863.1
OG0003012	XP_005850070.1	PRW56800.1
OG0003013	XP_005850068.1	PRW56721.1
OG0003014	XP_005845108.1	PRW45694.1
OG0003015	XP_005845067.1	PRW45346.1
OG0003016	XP_005848910.1	PRW61385.1
OG0003017	XP_005850333.1	PRW56633.1
OG0003018	XP_005850338.1	PRW56430.1
OG0003019	XP_005850329.1	PRW56686.1
OG0003020	XP_005850073.1	PRW56838.1
OG0003021	XP_005850325.1	PRW56529.1
OG0003022	XP_005850109.1	PRW56755.1
OG0003023	XP_005850110.1	PRW56534.1
OG0003024	XP_005850358.1	PRW56435.1
OG0003025	XP_005850352.1	PRW56523.1
OG0003026	XP_005845079.1	PRW45387.1
OG0003027	XP_005850140.1	PRW56475.1
OG0003028	XP_005850392.1	PRW56663.1
OG0003029	XP_005847223.1	PRW05854.1
OG0003030	XP_005850408.1	PRW56547.1
OG0003031	XP_005847220.1	PRW05873.1
OG0003032	XP_005847362.1	PRW05817.1
OG0003033	XP_005850470.1	PRW05834.1
OG0003034	XP_005850320.1	PRW56407.1
OG0003035	XP_005850314.1	PRW56601.1
OG0003036	XP_005850365.1	PRW56687.1
OG0003037	XP_005850379.1	PRW56626.1
OG0003038	XP_005850124.1	PRW56536.1
OG0003039	XP_005850125.1	PRW56629.1
OG0003040	XP_005850368.1	PRW56570.1
OG0003041	XP_005850126.1	PRW56727.1
OG0003042	XP_005850369.1	PRW56502.1
OG0003043	XP_005850128.1	PRW56886.1
OG0003044	XP_005850372.1	PRW56619.1
OG0003045	XP_005850373.1	PRW56841.1
OG0003046	XP_005850359.1	PRW56404.1
OG0003047	XP_005850362.1	PRW56833.1
OG0003048	XP_005850118.1	PRW56519.1
OG0003049	XP_005850117.1	PRW56556.1
OG0003050	XP_005850119.1	PRW56676.1
OG0003051	XP_005850363.1	PRW56515.1
OG0003052	XP_005850377.1	PRW56786.1
OG0003053	XP_005850376.1	PRW56652.1
OG0003054	XP_005850127.1	PRW56889.1
OG0003055	XP_005850375.1	PRW56790.1
OG0003056	XP_005850115.1	PRW56396.1
OG0003057	XP_005850361.1	PRW56588.1
OG0003058	XP_005847385.1	PRW44465.1
OG0003059	XP_005850381.1	PRW56726.1
OG0003060	XP_005850274.1	PRW56504.1
OG0003061	XP_005844254.1	PRW61261.1
OG0003062	XP_005850271.1	PRW56414.1
OG0003063	XP_005850020.1	PRW56661.1
OG0003064	XP_005850024.1	PRW56494.1
OG0003065	XP_005850027.1	PRW56874.1
OG0003066	XP_005850058.1	PRW56830.1
OG0003067	XP_005846943.1	PRW57305.1
OG0003068	XP_005847135.1	PRW57415.1
OG0003069	XP_005846940.1	PRW57253.1
OG0003070	XP_005851687.1	PRW60557.1
OG0003071	XP_005846838.1	PRW57289.1
OG0003072	XP_005847056.1	PRW57265.1
OG0003073	XP_005846880.1	PRW57521.1
OG0003074	XP_005847057.1	PRW57278.1
OG0003075	XP_005847015.1	PRW57156.1
OG0003076	XP_005847017.1	PRW57117.1
OG0003077	XP_005846839.1	PRW57059.1
OG0003078	XP_005847060.1	PRW57199.1
OG0003079	XP_005847061.1	PRW57537.1
OG0003080	XP_005846883.1	PRW56899.1
OG0003081	XP_005847062.1	PRW57023.1
OG0003082	XP_005847066.1	PRW56987.1
OG0003083	XP_005846886.1	PRW56901.1
OG0003084	XP_005847067.1	PRW57123.1
OG0003085	XP_005847068.1	PRW57365.1
OG0003086	XP_005846888.1	PRW56967.1
OG0003087	XP_005847069.1	PRW56962.1
OG0003088	XP_005847073.1	PRW57443.1
OG0003089	XP_005847074.1	PRW57076.1
OG0003092	XP_005846893.1	PRW57420.1
OG0003093	XP_005846890.1	PRW57366.1
OG0003094	XP_005847072.1	PRW57475.1
OG0003095	XP_005846892.1	PRW57042.1
OG0003096	XP_005846985.1	PRW57233.1
OG0003097	XP_005847195.1	PRW57149.1
OG0003098	XP_005846988.1	PRW57290.1
OG0003099	XP_005847127.1	PRW56943.1
OG0003100	XP_005847133.1	PRW57351.1
OG0003101	XP_005847130.1	PRW57040.1
OG0003102	XP_005846936.1	PRW57502.1
OG0003103	XP_005846926.1	PRW56903.1
OG0003104	XP_005847115.1	PRW57493.1
OG0003105	XP_005846927.1	PRW57497.1
OG0003106	XP_005847116.1	PRW57178.1
OG0003107	XP_005846928.1	PRW57409.1
OG0003108	XP_005847117.1	PRW57352.1
OG0003109	XP_005846929.1	PRW56996.1
OG0003110	XP_005847120.1	PRW57229.1
OG0003111	XP_005846930.1	PRW57369.1
OG0003113	XP_005846933.1	PRW57513.1
OG0003114	XP_005846934.1	PRW57283.1
OG0003115	XP_005847124.1, XP_005846925.1	PRW57370.1
OG0003116	XP_005850303.1	PRW32972.1, PRW32971.1
OG0003117	XP_005845211.1	PRW45575.1
OG0003119	XP_005845047.1	PRW45653.1
OG0003120	XP_005845137.1	PRW45409.1
OG0003121	XP_005844948.1	PRW33311.1
OG0003122	XP_005845140.1	PRW45570.1
OG0003123	XP_005845138.1	PRW45521.1
OG0003124	XP_005845239.1	PRW45560.1
OG0003125	XP_005845123.1	PRW45412.1
OG0003126	XP_005844375.1	PRW61436.1
OG0003127	XP_005845126.1	PRW45588.1
OG0003128	XP_005846836.1	PRW45419.1
OG0003129	XP_005846698.1	PRW45428.1
OG0003130	XP_005846855.1	PRW56896.1
OG0003131	XP_005846833.1	PRW45717.1
OG0003132	XP_005846694.1	PRW45733.1
OG0003133	XP_005846832.1	PRW45544.1
OG0003134	XP_005847037.1	PRW57202.1
OG0003135	XP_005844639.1	PRW59063.1
OG0003136	XP_005846819.1, XP_005846818.1	PRW32478.1, PRW61335.1
OG0003137	XP_005849661.1	PRW58901.1
OG0003139	XP_005846825.1	PRW45557.1
OG0003140	XP_005846689.1	PRW45401.1
OG0003141	XP_005846827.1	PRW45695.1
OG0003142	XP_005846673.1	PRW45646.1
OG0003143	XP_005844360.1	PRW60993.1
OG0003144	XP_005845150.1	PRW45380.1
OG0003145	XP_005846866.1	PRW57263.1
OG0003146	XP_005846706.1	PRW32581.1
OG0003147	XP_005845151.1	PRW45462.1
OG0003148	XP_005845046.1	PRW45621.1
OG0003149	XP_005845949.1	PRW05765.1
OG0003150	XP_005846084.1	PRW05788.1
OG0003151	XP_005845952.1	PRW05779.1
OG0003152	XP_005845954.1	PRW05786.1
OG0003153	XP_005845953.1	PRW05764.1
OG0003154	XP_005846083.1	PRW05766.1
OG0003155	XP_005845980.1	PRW39074.1
OG0003156	XP_005846115.1	PRW39298.1
OG0003157	XP_005845990.1	PRW39109.1
OG0003158	XP_005845991.1	PRW39344.1
OG0003159	XP_005845992.1	PRW39256.1
OG0003160	XP_005845994.1	PRW39241.1
OG0003161	XP_005846119.1	PRW39184.1
OG0003162	XP_005846177.1	PRW39185.1
OG0003163	XP_005846047.1	PRW39220.1
OG0003164	XP_005846183.1	PRW39127.1
OG0003166	XP_005845956.1	PRW05797.1
OG0003167	XP_005846089.1	PRW05808.1
OG0003168	XP_005847227.1	PRW44615.1
OG0003169	XP_005847194.1	PRW57061.1
OG0003170	XP_005845937.1	PRW05754.1
OG0003171	XP_005845957.1	PRW05768.1
OG0003172	XP_005846171.1	PRW39355.1
OG0003173	XP_005846090.1	PRW05767.1
OG0003174	XP_005845209.1	PRW45719.1
OG0003175	XP_005845958.1	PRW05776.1
OG0003176	XP_005850449.1	PRW56711.1
OG0003177	XP_005845061.1	PRW45627.1
OG0003179	XP_005845968.1	PRW05782.1
OG0003180	XP_005845973.1	PRW05784.1
OG0003182	XP_005845976.1	PRW05758.1
OG0003183	XP_005846112.1	PRW39136.1
OG0003184	XP_005845989.1	PRW39342.1
OG0003185	XP_005845979.1	PRW39293.1
OG0003186	XP_005845977.1	PRW39238.1
OG0003187	XP_005846106.1	PRW39176.1
OG0003189	XP_005846109.1	PRW39235.1
OG0003190	XP_005846142.1	PRW39323.1
OG0003191	XP_005846019.1	PRW39212.1
OG0003192	XP_005846152.1	PRW39153.1
OG0003193	XP_005846154.1	PRW39373.1
OG0003194	XP_005846014.1	PRW39218.1
OG0003195	XP_005846164.1	PRW39325.1
OG0003196	XP_005845978.1	PRW39239.1
OG0003197	XP_005845983.1	PRW39174.1
OG0003198	XP_005850775.1	PRW60909.1
OG0003199	XP_005846028.1	PRW39372.1
OG0003200	XP_005846160.1	PRW39058.1
OG0003201	XP_005846011.1	PRW39156.1
OG0003202	XP_005846128.1	PRW39273.1
OG0003203	XP_005846130.1	PRW39320.1
OG0003205	XP_005846151.1	PRW39102.1
OG0003206	XP_005846924.1	PRW57272.1
OG0003207	XP_005846145.1	PRW39233.1
OG0003209	XP_005846168.1	PRW39159.1
OG0003210	XP_005852229.1	PRW60773.1
OG0003211	XP_005846170.1	PRW39096.1
OG0003212	XP_005846169.1	PRW39080.1
OG0003213	XP_005846036.1	PRW39244.1
OG0003214	XP_005846167.1	PRW39116.1
OG0003215	XP_005846034.1	PRW39253.1
OG0003217	XP_005845003.1	PRW39066.1, PRW39065.1
OG0003218	XP_005843860.1	PRW20728.1
OG0003219	XP_005846060.1	PRW39267.1
OG0003221	XP_005846063.1	PRW39352.1
OG0003222	XP_005846057.1	PRW39165.1
OG0003223	XP_005846207.1	PRW39057.1
OG0003224	XP_005846193.1	PRW39221.1
OG0003225	XP_005846184.1	PRW39138.1
OG0003226	XP_005846052.1	PRW39326.1
OG0003227	XP_005846053.1	PRW39396.1
OG0003229	XP_005845000.1	PRW39205.1
OG0003230	XP_005846182.1	PRW39124.1
OG0003231	XP_005844905.1	PRW39306.1
OG0003232	XP_005845004.1	PRW39263.1
OG0003233	XP_005846204.1	PRW39305.1
OG0003234	XP_005846064.1	PRW39382.1
OG0003235	XP_005846206.1	PRW39123.1
OG0003236	XP_005844920.1	PRW39092.1
OG0003237	XP_005849173.1	PRW57694.1
OG0003238	XP_005845023.1	PRW39130.1
OG0003240	XP_005846059.1	PRW39246.1
OG0003241	XP_005846200.1	PRW39188.1
OG0003242	XP_005846199.1	PRW39309.1
OG0003243	XP_005846066.1	PRW39112.1
OG0003244	XP_005845013.1	PRW39225.1
OG0003245	XP_005844917.1	PRW39251.1
OG0003246	XP_005845014.1	PRW39378.1
OG0003247	XP_005844655.1	PRW20998.1
OG0003248	XP_005847082.1	PRW57509.1
OG0003249	XP_005843618.1	PRW61211.1
OG0003250	XP_005847029.1	PRW57383.1
OG0003251	XP_005847300.1	PRW61618.1
OG0003252	XP_005847387.1	PRW44475.1
OG0003253	XP_005843636.1	PRW60984.1
OG0003255	XP_005843555.1	PRW60963.1
OG0003256	XP_005849893.1	PRW58870.1
OG0003258	XP_005843620.1	PRW61264.1
OG0003259	XP_005843570.1	PRW61052.1
OG0003260	XP_005843619.1	PRW61414.1
OG0003261	XP_005843567.1	PRW60958.1
OG0003262	XP_005843565.1	PRW61101.1
OG0003263	XP_005846027.1	PRW61122.1
OG0003264	XP_005850317.1	PRW56659.1
OG0003265	XP_005846851.1	PRW57110.1
OG0003266	XP_005843623.1	PRW61313.1
OG0003267	XP_005843577.1	PRW61001.1
OG0003268	XP_005843625.1	PRW61011.1
OG0003269	XP_005847383.1	PRW44584.1
OG0003270	XP_005843575.1	PRW61157.1
OG0003271	XP_005843611.1	PRW61073.1
OG0003272	XP_005847379.1	PRW44368.1
OG0003273	XP_005847233.1	PRW44323.1
OG0003274	XP_005847376.1	PRW44594.1
OG0003275	XP_005847375.1	PRW44450.1
OG0003276	XP_005847232.1	PRW44423.1
OG0003277	XP_005847372.1	PRW44303.1
OG0003278	XP_005847231.1	PRW44555.1
OG0003279	XP_005847366.1	PRW44267.1
OG0003280	XP_005847368.1	PRW44545.1
OG0003281	XP_005847230.1	PRW44460.1
OG0003282	XP_005847367.1	PRW44429.1
OG0003283	XP_005847364.1	PRW05810.1
OG0003284	XP_005847222.1	PRW05831.1
OG0003285	XP_005850431.1	PRW56470.1
OG0003286	XP_005850179.1	PRW56513.1
OG0003287	XP_005850432.1	PRW56563.1
OG0003288	XP_005850426.1	PRW56656.1
OG0003289	XP_005850411.1	PRW56595.1
OG0003290	XP_005850387.1	PRW56544.1
OG0003291	XP_005850141.1	PRW56747.1
OG0003292	XP_005850396.1	PRW56441.1
OG0003293	XP_005850155.1	PRW56428.1
OG0003294	XP_005850413.1	PRW56612.1
OG0003295	XP_005850163.1	PRW56847.1
OG0003296	XP_005850162.1	PRW56410.1
OG0003297	XP_005850415.1	PRW56630.1
OG0003298	XP_005850417.1	PRW56403.1
OG0003299	XP_005850421.1	PRW56845.1
OG0003300	XP_005850171.1	PRW56657.1
OG0003301	XP_005850419.1	PRW56671.1
OG0003303	XP_005850565.1	PRW56197.1
OG0003304	XP_005847840.1	PRW33760.1
OG0003305	XP_005850339.1	PRW56452.1
OG0003306	XP_005843557.1	PRW61097.1
OG0003307	XP_005850857.1	PRW56128.1
OG0003308	XP_005850850.1	PRW56204.1
OG0003309	XP_005850558.1	PRW56135.1
OG0003310	XP_005850851.1	PRW56344.1
OG0003311	XP_005850638.1	PRW55902.1
OG0003312	XP_005850635.1	PRW56178.1
OG0003313	XP_005850646.1	PRW55975.1
OG0003314	XP_005850975.1	PRW56176.1
OG0003315	XP_005850935.1	PRW56257.1
OG0003316	XP_005850934.1	PRW33510.1
OG0003317	XP_005850654.1	PRW56129.1
OG0003318	XP_005850652.1	PRW56312.1
OG0003319	XP_005850650.1	PRW56105.1
OG0003320	XP_005850927.1	PRW56114.1
OG0003321	XP_005847270.1	PRW44624.1
OG0003322	XP_005850700.1	PRW55968.1
OG0003323	XP_005850988.1	PRW56009.1
OG0003324	XP_005850709.1	PRW56118.1
OG0003325	XP_005850987.1	PRW56252.1
OG0003326	XP_005850710.1	PRW56126.1
OG0003327	XP_005850980.1	PRW56064.1
OG0003328	XP_005850711.1	PRW56086.1
OG0003329	XP_005850757.1	PRW56172.1
OG0003330	XP_005851039.1	PRW56205.1
OG0003331	XP_005850990.1	PRW56139.1
OG0003332	XP_005847025.1	PRW57360.1
OG0003334	XP_005850713.1	PRW56016.1
OG0003335	XP_005850991.1	PRW56327.1
OG0003336	XP_005850993.1	PRW56031.1
OG0003337	XP_005850998.1	PRW55953.1
OG0003338	XP_005850720.1	PRW56297.1
OG0003339	XP_005851002.1	PRW56097.1
OG0003340	XP_005850721.1	PRW56157.1
OG0003341	XP_005850716.1	PRW56115.1
OG0003342	XP_005850745.1	PRW56100.1
OG0003343	XP_005850752.1	PRW56113.1
OG0003344	XP_005851035.1	PRW55987.1
OG0003345	XP_005850717.1	PRW56309.1
OG0003347	XP_005851026.1	PRW56030.1
OG0003348	XP_005850665.1	PRW55928.1
OG0003349	XP_005850946.1	PRW56015.1
OG0003350	XP_005850664.1	PRW55925.1
OG0003352	XP_005850949.1	PRW55949.1
OG0003353	XP_005850953.1	PRW55895.1
OG0003354	XP_005850670.1	PRW56304.1
OG0003355	XP_005850669.1	PRW56036.1
OG0003356	XP_005850952.1	PRW55958.1
OG0003357	XP_005850956.1	PRW56061.1
OG0003358	XP_005850673.1	PRW56060.1
OG0003359	XP_005850674.1	PRW55930.1
OG0003360	XP_005850960.1	PRW56059.1
OG0003361	XP_005850961.1	PRW56354.1, PRW56353.1
OG0003362	XP_005850963.1	PRW56074.1
OG0003364	XP_005845100.1	PRW45440.1
OG0003366	XP_005851012.1	PRW55988.1
OG0003367	XP_005844547.1	PRW20518.1
OG0003368	XP_005851016.1	PRW56156.1
OG0003369	XP_005850684.1	PRW56222.1
OG0003370	XP_005850968.1	PRW55917.1
OG0003372	XP_005850732.1	PRW56233.1
OG0003373	XP_005848786.1	PRW60640.1
OG0003374	XP_005851023.1	PRW56111.1
OG0003375	XP_005851022.1	PRW55982.1
OG0003376	XP_005850737.1	PRW56266.1
OG0003377	XP_005850734.1	PRW56341.1
OG0003378	XP_005851018.1	PRW56026.1
OG0003379	XP_005851017.1	PRW56285.1
OG0003380	XP_005850733.1	PRW56340.1
OG0003381	XP_005850657.1	PRW55981.1
OG0003382	XP_005850940.1	PRW55997.1
OG0003383	XP_005843478.1	PRW58875.1
OG0003384	XP_005850978.1	PRW56062.1
OG0003385	XP_005850979.1	PRW55961.1
OG0003387	XP_005850703.1	PRW56333.1
OG0003388	XP_005850986.1	PRW56308.1
OG0003389	XP_005850688.1	PRW56227.1
OG0003390	XP_005850704.1	PRW55921.1
OG0003391	XP_005847394.1	PRW44431.1
OG0003392	XP_005843608.1	PRW61000.1
OG0003393	XP_005851880.1	PRW50853.1
OG0003394	XP_005845168.1	PRW45526.1
OG0003396	XP_005847238.1	PRW44434.1
OG0003397	XP_005850901.1	PRW56325.1
OG0003398	XP_005850621.1	PRW56018.1
OG0003399	XP_005850900.1	PRW55887.1
OG0003400	XP_005850623.1	PRW56101.1
OG0003401	XP_005850624.1	PRW56268.1
OG0003402	XP_005851010.1	PRW56131.1
OG0003403	XP_005850912.1	PRW56182.1
OG0003404	XP_005850625.1	PRW56167.1
OG0003405	XP_005850626.1	PRW55908.1
OG0003406	XP_005848027.1	PRW20944.1
OG0003408	XP_005851005.1	PRW56020.1
OG0003409	XP_005850724.1	PRW55986.1
OG0003410	XP_005850727.1	PRW56248.1
OG0003411	XP_005850750.1	PRW56332.1
OG0003412	XP_005851037.1	PRW56223.1
OG0003413	XP_005850754.1	PRW55984.1
OG0003414	XP_005850764.1	PRW56198.1
OG0003415	XP_005851052.1	PRW56050.1
OG0003416	XP_005851053.1	PRW56269.1
OG0003417	XP_005844653.1	PRW21028.1
OG0003418	XP_005850767.1	PRW55993.1
OG0003419	XP_005851077.1	PRW58376.1
OG0003420	XP_005850772.1	PRW56130.1
OG0003421	XP_005842977.1	PRW59838.1
OG0003422	XP_005845858.1	PRW33628.1
OG0003423	XP_005845830.1	PRW33509.1
OG0003424	XP_005845838.1	PRW33573.1
OG0003425	XP_005845874.1	PRW33637.1
OG0003426	XP_005847283.1	PRW60807.1
OG0003427	XP_005845763.1	PRW33527.1
OG0003428	XP_005845873.1	PRW33550.1
OG0003429	XP_005845760.1	PRW33694.1
OG0003430	XP_005845871.1	PRW33715.1
OG0003431	XP_005845751.1	PRW33736.1
OG0003432	XP_005845775.1	PRW33665.1
OG0003433	XP_005845831.1	PRW33703.1
OG0003434	XP_005845897.1	PRW33632.1
OG0003435	XP_005845894.1	PRW33745.1
OG0003436	XP_005845889.1	PRW33546.1
OG0003437	XP_005845892.1	PRW33551.1
