Orthogroup	c_variabilis_genome_proteins	m_conductrix_genome_proteins
OG0003026	XP_005845079.1	PSC73799.1
OG0003027	XP_005850140.1	PSC71471.1
OG0003028	XP_005850392.1	PSC71537.1
OG0003029	XP_005847223.1	PSC75340.1
OG0003030	XP_005850408.1	PSC68130.1
OG0003031	XP_005847220.1	PSC75519.1
OG0003032	XP_005847362.1	PSC75680.1
OG0003033	XP_005850470.1	PSC75422.1
OG0003034	XP_005850320.1	PSC72409.1
OG0003035	XP_005850314.1	PSC72523.1
OG0003036	XP_005850365.1	PSC72709.1
OG0003037	XP_005850379.1	PSC71593.1
OG0003038	XP_005850124.1	PSC72904.1
OG0003039	XP_005850125.1	PSC71665.1
OG0003040	XP_005850368.1	PSC71587.1
OG0003041	XP_005850126.1	PSC71638.1
OG0003042	XP_005850369.1	PSC71633.1
OG0003043	XP_005850128.1	PSC71553.1
OG0003044	XP_005850372.1	PSC71466.1
OG0003045	XP_005850373.1	PSC71546.1
OG0003046	XP_005850359.1	PSC72914.1
OG0003047	XP_005850362.1	PSC72667.1
OG0003048	XP_005850118.1	PSC72797.1
OG0003049	XP_005850117.1	PSC72898.1
OG0003050	XP_005850119.1	PSC72831.1
OG0003051	XP_005850363.1	PSC72793.1
OG0003052	XP_005850377.1	PSC71522.1
OG0003053	XP_005850376.1	PSC71478.1
OG0003054	XP_005850127.1	PSC71517.1
OG0003055	XP_005850375.1	PSC71452.1
OG0003056	XP_005850115.1	PSC72790.1
OG0003057	XP_005850361.1	PSC72778.1
OG0003058	XP_005847385.1	PSC75631.1
OG0003059	XP_005850381.1	PSC71512.1
OG0003060	XP_005850274.1	PSC72499.1
OG0003061	XP_005844254.1	PSC73276.1
OG0003062	XP_005850271.1	PSC72444.1
OG0003063	XP_005850020.1	PSC72421.1
OG0003064	XP_005850024.1	PSC72564.1
OG0003065	XP_005850027.1	PSC72493.1
OG0003066	XP_005850058.1	PSC72504.1
OG0003067	XP_005846943.1	PSC72293.1
OG0003068	XP_005847135.1	PSC72106.1
OG0003069	XP_005846940.1	PSC72278.1
OG0003070	XP_005851687.1	PSC68442.1
OG0003071	XP_005846838.1	PSC72261.1
OG0003072	XP_005847056.1	PSC72264.1
OG0003073	XP_005846880.1	PSC72163.1
OG0003074	XP_005847057.1	PSC72299.1
OG0003075	XP_005847015.1	PSC72286.1
OG0003076	XP_005847017.1	PSC72220.1
OG0003077	XP_005846839.1	PSC72242.1
OG0003078	XP_005847060.1	PSC72164.1
OG0003079	XP_005847061.1	PSC72213.1
OG0003080	XP_005846883.1	PSC72178.1
OG0003081	XP_005847062.1	PSC72057.1
OG0003082	XP_005847066.1	PSC72139.1
OG0003083	XP_005846886.1	PSC72118.1
OG0003084	XP_005847067.1	PSC72302.1
OG0003085	XP_005847068.1	PSC72238.1
OG0003086	XP_005846888.1	PSC72300.1
OG0003087	XP_005847069.1	PSC72276.1
OG0003088	XP_005847073.1	PSC72309.1
OG0003089	XP_005847074.1	PSC72172.1
OG0003092	XP_005846893.1	PSC72235.1
OG0003093	XP_005846890.1	PSC72240.1
OG0003094	XP_005847072.1	PSC72204.1
OG0003095	XP_005846892.1	PSC72231.1
OG0003096	XP_005846985.1	PSC71160.1
OG0003097	XP_005847195.1	PSC71049.1
OG0003098	XP_005846988.1	PSC71069.1
OG0003099	XP_005847127.1	PSC72097.1
OG0003100	XP_005847133.1	PSC72194.1
OG0003101	XP_005847130.1	PSC72085.1
OG0003102	XP_005846936.1	PSC72228.1
OG0003103	XP_005846926.1	PSC72237.1
OG0003104	XP_005847115.1	PSC72291.1
OG0003105	XP_005846927.1	PSC72155.1
OG0003106	XP_005847116.1	PSC72062.1
OG0003107	XP_005846928.1	PSC72253.1
OG0003108	XP_005847117.1	PSC72094.1
OG0003109	XP_005846929.1	PSC72070.1
OG0003110	XP_005847120.1	PSC72064.1
OG0003111	XP_005846930.1	PSC72219.1
OG0003113	XP_005846933.1	PSC72065.1
OG0003114	XP_005846934.1	PSC72211.1
OG0003117	XP_005845211.1	PSC73685.1
OG0003118	XP_005845212.1	PSC68648.1
OG0003119	XP_005845047.1	PSC68189.1
OG0003120	XP_005845137.1	PSC67326.1
OG0003121	XP_005844948.1	PSC69251.1
OG0003122	XP_005845140.1	PSC67324.1
OG0003123	XP_005845138.1	PSC67330.1
OG0003124	XP_005845239.1	PSC68611.1
OG0003125	XP_005845123.1	PSC68636.1
OG0003126	XP_005844375.1	PSC73465.1
OG0003127	XP_005845126.1	PSC68593.1
OG0003128	XP_005846836.1	PSC68651.1
OG0003129	XP_005846698.1	PSC68592.1
OG0003130	XP_005846855.1	PSC72239.1
OG0003131	XP_005846833.1	PSC68607.1
OG0003132	XP_005846694.1	PSC68565.1
OG0003133	XP_005846832.1	PSC68633.1
OG0003134	XP_005847037.1	PSC72241.1
OG0003135	XP_005844639.1	PSC75279.1
OG0003137	XP_005849661.1	PSC76053.1
OG0003139	XP_005846825.1	PSC68932.1
OG0003140	XP_005846689.1	PSC68940.1
OG0003141	XP_005846827.1	PSC68981.1
OG0003142	XP_005846673.1	PSC68966.1
OG0003143	XP_005844360.1	PSC73327.1
OG0003144	XP_005845150.1	PSC68215.1
OG0003145	XP_005846866.1	PSC72131.1
OG0003146	XP_005846706.1	PSC75625.1
OG0003147	XP_005845151.1	PSC68227.1
OG0003148	XP_005845046.1	PSC68206.1
OG0003149	XP_005845949.1	PSC67612.1
OG0003150	XP_005846084.1	PSC67627.1
OG0003151	XP_005845952.1	PSC67639.1
OG0003152	XP_005845954.1	PSC67613.1
OG0003153	XP_005845953.1	PSC67617.1
OG0003154	XP_005846083.1	PSC67635.1
OG0003155	XP_005845980.1	PSC71943.1
OG0003156	XP_005846115.1	PSC71930.1
OG0003157	XP_005845990.1	PSC72029.1
OG0003158	XP_005845991.1	PSC72040.1
OG0003159	XP_005845992.1	PSC71851.1
OG0003160	XP_005845994.1	PSC72039.1
OG0003161	XP_005846119.1	PSC71863.1
OG0003162	XP_005846177.1	PSC71886.1
OG0003163	XP_005846047.1	PSC71911.1
OG0003164	XP_005846183.1	PSC67857.1
OG0003166	XP_005845956.1	PSC67625.1
OG0003167	XP_005846089.1	PSC67616.1
OG0003168	XP_005847227.1	PSC75728.1
OG0003169	XP_005847194.1	PSC71056.1
OG0003170	XP_005845937.1	PSC69226.1
OG0003171	XP_005845957.1	PSC67622.1
OG0003172	XP_005846171.1	PSC71985.1
OG0003173	XP_005846090.1	PSC67611.1
OG0003174	XP_005845209.1	PSC73666.1
OG0003175	XP_005845958.1	PSC71979.1
OG0003176	XP_005850449.1	PSC69818.1
OG0003177	XP_005845061.1	PSC68237.1
OG0003179	XP_005845968.1	PSC72033.1
OG0003180	XP_005845973.1	PSC71941.1
OG0003182	XP_005845976.1	PSC71961.1
OG0003183	XP_005846112.1	PSC71995.1
OG0003184	XP_005845989.1	PSC71876.1
OG0003185	XP_005845979.1	PSC71925.1
OG0003186	XP_005845977.1	PSC72006.1
OG0003187	XP_005846106.1	PSC71853.1
OG0003189	XP_005846109.1	PSC71862.1
OG0003190	XP_005846142.1	PSC72021.1
OG0003191	XP_005846019.1	PSC71969.1
OG0003192	XP_005846152.1	PSC71996.1
OG0003193	XP_005846154.1	PSC71999.1
OG0003194	XP_005846014.1	PSC71924.1
OG0003195	XP_005846164.1	PSC72026.1
OG0003196	XP_005845978.1	PSC71978.1
OG0003197	XP_005845983.1	PSC72004.1
OG0003198	XP_005850775.1	PSC73489.1
OG0003199	XP_005846028.1	PSC71974.1
OG0003200	XP_005846160.1	PSC71879.1
OG0003201	XP_005846011.1	PSC72022.1
OG0003202	XP_005846128.1	PSC72028.1
OG0003203	XP_005846130.1	PSC72019.1
OG0003205	XP_005846151.1	PSC71955.1
OG0003206	XP_005846924.1	PSC72177.1
OG0003207	XP_005846145.1	PSC71949.1
OG0003208	XP_005842579.1, XP_005846155.1	PSC71905.1
OG0003209	XP_005846168.1	PSC71923.1
OG0003210	XP_005852229.1	PSC74055.1
OG0003211	XP_005846170.1	PSC71957.1
OG0003212	XP_005846169.1	PSC72025.1
OG0003213	XP_005846036.1	PSC71901.1
OG0003214	XP_005846167.1	PSC72041.1
OG0003215	XP_005846034.1	PSC71945.1
OG0003218	XP_005843860.1	PSC67481.1
OG0003219	XP_005846060.1	PSC67669.1
OG0003221	XP_005846063.1	PSC67642.1
OG0003222	XP_005846057.1	PSC67878.1
OG0003223	XP_005846207.1	PSC67663.1
OG0003224	XP_005846193.1	PSC67852.1
OG0003225	XP_005846184.1	PSC67831.1
OG0003226	XP_005846052.1	PSC67836.1
OG0003227	XP_005846053.1	PSC67872.1
OG0003229	XP_005845000.1	PSC67583.1
OG0003230	XP_005846182.1	PSC67853.1
OG0003231	XP_005844905.1	PSC73595.1
OG0003232	XP_005845004.1	PSC73346.1
OG0003233	XP_005846204.1	PSC67672.1
OG0003234	XP_005846064.1	PSC67686.1
OG0003235	XP_005846206.1	PSC67678.1
OG0003236	XP_005844920.1	PSC67685.1
OG0003237	XP_005849173.1	PSC73161.1
OG0003238	XP_005845023.1	PSC67646.1
OG0003240	XP_005846059.1	PSC67654.1
OG0003241	XP_005846200.1	PSC67175.1
OG0003242	XP_005846199.1	PSC67648.1
OG0003243	XP_005846066.1	PSC67651.1
OG0003244	XP_005845013.1	PSC67262.1
OG0003245	XP_005844917.1	PSC67253.1
OG0003246	XP_005845014.1	PSC67263.1
OG0003247	XP_005844655.1	PSC71701.1
OG0003248	XP_005847082.1	PSC72061.1
OG0003249	XP_005843618.1	PSC70559.1
OG0003250	XP_005847029.1	PSC72248.1
OG0003251	XP_005847300.1	PSC70634.1
OG0003252	XP_005847387.1	PSC75611.1
OG0003253	XP_005843636.1	PSC74027.1
OG0003255	XP_005843555.1	PSC70510.1
OG0003256	XP_005849893.1	PSC76390.1
OG0003258	XP_005843620.1	PSC74348.1
OG0003259	XP_005843570.1	PSC74109.1
OG0003260	XP_005843619.1	PSC70621.1
OG0003261	XP_005843567.1	PSC70521.1
OG0003262	XP_005843565.1	PSC70645.1
OG0003263	XP_005846027.1	PSC70492.1
OG0003264	XP_005850317.1	PSC72426.1
OG0003265	XP_005846851.1	PSC72226.1
OG0003266	XP_005843623.1	PSC73978.1
OG0003267	XP_005843577.1	PSC74119.1
OG0003268	XP_005843625.1	PSC74042.1
OG0003269	XP_005847383.1	PSC75556.1
OG0003270	XP_005843575.1	PSC74163.1
OG0003271	XP_005843611.1	PSC70539.1
OG0003272	XP_005847379.1	PSC75398.1
OG0003273	XP_005847233.1	PSC75812.1
OG0003274	XP_005847376.1	PSC75807.1
OG0003275	XP_005847375.1	PSC75312.1
OG0003276	XP_005847232.1	PSC75822.1
OG0003277	XP_005847372.1	PSC75956.1
OG0003278	XP_005847231.1	PSC75268.1
OG0003279	XP_005847366.1	PSC75975.1
OG0003280	XP_005847368.1	PSC75988.1
OG0003281	XP_005847230.1	PSC75865.1
OG0003282	XP_005847367.1	PSC75544.1
OG0003283	XP_005847364.1	PSC75594.1
OG0003284	XP_005847222.1	PSC75607.1
OG0003285	XP_005850431.1	PSC69769.1
OG0003286	XP_005850179.1	PSC69752.1
OG0003287	XP_005850432.1	PSC69737.1
OG0003288	XP_005850426.1	PSC69727.1
OG0003289	XP_005850411.1	PSC68089.1
OG0003290	XP_005850387.1	PSC71594.1
OG0003291	XP_005850141.1	PSC71565.1
OG0003292	XP_005850396.1	PSC71547.1
OG0003293	XP_005850155.1	PSC68080.1
OG0003294	XP_005850413.1	PSC68118.1
OG0003295	XP_005850163.1	PSC68116.1
OG0003296	XP_005850162.1	PSC68085.1
OG0003297	XP_005850415.1	PSC68107.1
OG0003298	XP_005850417.1	PSC68131.1
OG0003299	XP_005850421.1	PSC69823.1
OG0003300	XP_005850171.1	PSC69739.1
OG0003301	XP_005850419.1	PSC69776.1
OG0003303	XP_005850565.1	PSC72731.1
OG0003304	XP_005847840.1	PSC70289.1
OG0003305	XP_005850339.1	PSC71386.1
OG0003306	XP_005843557.1	PSC70618.1
OG0003307	XP_005850857.1	PSC72767.1
OG0003308	XP_005850850.1	PSC72619.1
OG0003309	XP_005850558.1	PSC72697.1
OG0003310	XP_005850851.1	PSC72756.1
OG0003311	XP_005850638.1	PSC71536.1
OG0003312	XP_005850635.1	PSC71543.1
OG0003313	XP_005850646.1	PSC71557.1
OG0003314	XP_005850975.1	PSC72675.1
OG0003315	XP_005850935.1	PSC72642.1
OG0003317	XP_005850654.1	PSC72761.1
OG0003318	XP_005850652.1	PSC71611.1
OG0003319	XP_005850650.1	PSC71607.1
OG0003320	XP_005850927.1	PSC71572.1
OG0003321	XP_005847270.1	PSC70885.1
OG0003322	XP_005850700.1	PSC72654.1
OG0003323	XP_005850988.1	PSC72716.1
OG0003324	XP_005850709.1	PSC72652.1
OG0003325	XP_005850987.1	PSC72783.1
OG0003326	XP_005850710.1	PSC72677.1
OG0003327	XP_005850980.1	PSC72869.1
OG0003328	XP_005850711.1	PSC72887.1
OG0003329	XP_005850757.1	PSC69028.1
OG0003330	XP_005851039.1	PSC69033.1
OG0003331	XP_005850990.1	PSC72780.1
OG0003332	XP_005847025.1	PSC72137.1
OG0003334	XP_005850713.1	PSC72717.1
OG0003335	XP_005850991.1	PSC72776.1
OG0003336	XP_005850993.1	PSC72779.1
OG0003337	XP_005850998.1	PSC72699.1
OG0003338	XP_005850720.1	PSC72706.1
OG0003339	XP_005851002.1	PSC72782.1
OG0003340	XP_005850721.1	PSC72823.1
OG0003341	XP_005850716.1	PSC72602.1
OG0003342	XP_005850745.1	PSC69082.1
OG0003343	XP_005850752.1	PSC69021.1
OG0003344	XP_005851035.1	PSC69017.1
OG0003345	XP_005850717.1	PSC72722.1
OG0003347	XP_005851026.1	PSC69066.1
OG0003348	XP_005850665.1	PSC71641.1
OG0003350	XP_005850664.1	PSC71619.1
OG0003351	XP_005850666.1	PSC72890.1, PSC72889.1
OG0003352	XP_005850949.1	PSC72883.1
OG0003353	XP_005850953.1	PSC72785.1
OG0003354	XP_005850670.1	PSC72698.1
OG0003355	XP_005850669.1	PSC72777.1
OG0003356	XP_005850952.1	PSC72689.1
OG0003357	XP_005850956.1	PSC72813.1
OG0003358	XP_005850673.1	PSC72899.1
OG0003359	XP_005850674.1	PSC72877.1
OG0003360	XP_005850960.1	PSC72700.1
OG0003361	XP_005850961.1	PSC72885.1
OG0003362	XP_005850963.1	PSC72884.1
OG0003364	XP_005845100.1	PSC73554.1
OG0003365	XP_005852017.1	PSC76704.1, PSC76706.1
OG0003366	XP_005851012.1	PSC69023.1
OG0003367	XP_005844547.1	PSC70221.1
OG0003368	XP_005851016.1	PSC69044.1
OG0003369	XP_005850684.1	PSC72911.1
OG0003370	XP_005850968.1	PSC72612.1
OG0003372	XP_005850732.1	PSC69054.1
OG0003373	XP_005848786.1	PSC75770.1
OG0003374	XP_005851023.1	PSC69046.1
OG0003375	XP_005851022.1	PSC69083.1
OG0003376	XP_005850737.1	PSC69062.1
OG0003377	XP_005850734.1	PSC69034.1
OG0003378	XP_005851018.1	PSC68992.1
OG0003379	XP_005851017.1	PSC69071.1
OG0003380	XP_005850733.1	PSC69006.1
OG0003381	XP_005850657.1	PSC71599.1
OG0003382	XP_005850940.1	PSC71468.1
OG0003383	XP_005843478.1	PSC67921.1
OG0003384	XP_005850978.1	PSC72758.1
OG0003385	XP_005850979.1	PSC72895.1
OG0003387	XP_005850703.1	PSC72862.1
OG0003389	XP_005850688.1	PSC72671.1
OG0003390	XP_005850704.1	PSC72712.1
OG0003391	XP_005847394.1	PSC75311.1
OG0003392	XP_005843608.1	PSC73362.1
OG0003393	XP_005851880.1	PSC68949.1
OG0003394	XP_005845168.1	PSC73707.1
OG0003396	XP_005847238.1	PSC75597.1
OG0003397	XP_005850901.1	PSC71455.1
OG0003398	XP_005850621.1	PSC71555.1
OG0003399	XP_005850900.1	PSC71637.1
OG0003400	XP_005850623.1	PSC71621.1
OG0003401	XP_005850624.1	PSC71502.1
OG0003402	XP_005851010.1	PSC69004.1
OG0003403	XP_005850912.1	PSC71534.1
OG0003404	XP_005850625.1	PSC71656.1
OG0003405	XP_005850626.1	PSC71491.1
OG0003406	XP_005848027.1	PSC76221.1
OG0003408	XP_005851005.1	PSC69032.1
OG0003409	XP_005850724.1	PSC69030.1
OG0003410	XP_005850727.1	PSC68993.1
OG0003411	XP_005850750.1	PSC69063.1
OG0003412	XP_005851037.1	PSC69016.1
OG0003413	XP_005850754.1	PSC69072.1
OG0003414	XP_005850764.1	PSC69043.1
OG0003415	XP_005851052.1	PSC69078.1
OG0003416	XP_005851053.1	PSC69031.1
OG0003417	XP_005844653.1	PSC71817.1
OG0003418	XP_005850767.1	PSC69061.1
OG0003419	XP_005851077.1	PSC68639.1
OG0003420	XP_005850772.1	PSC69011.1
OG0003421	XP_005842977.1	PSC68438.1
OG0003422	XP_005845858.1	PSC75042.1
OG0003423	XP_005845830.1	PSC74913.1
OG0003424	XP_005845838.1	PSC67371.1
OG0003425	XP_005845874.1	PSC75091.1
OG0003426	XP_005847283.1	PSC73751.1
OG0003427	XP_005845763.1	PSC75199.1
OG0003428	XP_005845873.1	PSC74869.1
OG0003429	XP_005845760.1	PSC67375.1
OG0003430	XP_005845871.1	PSC67380.1
OG0003431	XP_005845751.1	PSC67391.1
OG0003432	XP_005845775.1	PSC69991.1
OG0003433	XP_005845831.1	PSC74892.1
OG0003434	XP_005845897.1	PSC70078.1
OG0003435	XP_005845894.1	PSC70018.1
OG0003436	XP_005845889.1	PSC70010.1
OG0003437	XP_005845892.1	PSC70004.1
OG0003438	XP_005845898.1	PSC70092.1
OG0003440	XP_005845784.1	PSC70094.1
OG0003441	XP_005845778.1	PSC70048.1
OG0003442	XP_005845886.1	PSC75135.1
OG0003443	XP_005845766.1	PSC75081.1
OG0003444	XP_005845872.1	PSC75062.1
OG0003445	XP_005845880.1	PSC75039.1
OG0003446	XP_005851678.1	PSC74959.1
OG0003447	XP_005852007.1	PSC75000.1
OG0003448	XP_005851677.1	PSC75094.1
OG0003449	XP_005852006.1	PSC74816.1
OG0003450	XP_005852009.1	PSC74893.1
OG0003451	XP_005851680.1	PSC74855.1
OG0003452	XP_005851684.1	PSC68423.1
OG0003453	XP_005852022.1	PSC68146.1
OG0003454	XP_005851692.1	PSC68167.1
OG0003456	XP_005851985.1	PSC67346.1
OG0003457	XP_005846523.1	PSC69692.1
OG0003459	XP_005852082.1	PSC74813.1
OG0003460	XP_005852026.1	PSC68174.1
OG0003461	XP_005851695.1	PSC68162.1
OG0003462	XP_005851667.1	PSC67349.1
OG0003463	XP_005851987.1	PSC67338.1
OG0003464	XP_005851666.1	PSC67350.1
OG0003465	XP_005851675.1	PSC74820.1
OG0003466	XP_005852002.1	PSC75061.1
OG0003467	XP_005851997.1	PSC75028.1
OG0003468	XP_005851674.1	PSC75099.1
OG0003469	XP_005852070.1	PSC74815.1
OG0003470	XP_005851729.1	PSC74866.1
OG0003472	XP_005843199.1	PSC68476.1
OG0003473	XP_005843277.1	PSC67297.1
OG0003474	XP_005851754.1	PSC74966.1
OG0003476	XP_005851750.1	PSC74885.1
OG0003477	XP_005851768.1	PSC75040.1
OG0003478	XP_005852105.1	PSC75158.1
OG0003479	XP_005852095.1	PSC75194.1
OG0003480	XP_005851763.1	PSC75049.1
OG0003481	XP_005852322.1	PSC76207.1
OG0003483	XP_005852099.1	PSC75161.1
OG0003484	XP_005852097.1	PSC75190.1
OG0003485	XP_005852108.1	PSC74880.1
OG0003486	XP_005852116.1	PSC74903.1
OG0003487	XP_005851775.1	PSC75226.1
OG0003488	XP_005852114.1	PSC74942.1
OG0003489	XP_005852115.1	PSC74891.1
OG0003490	XP_005852118.1	PSC74972.1
OG0003491	XP_005851784.1	PSC74870.1
OG0003492	XP_005852060.1	PSC68157.1
OG0003493	XP_005851718.1	PSC68145.1, PSC68144.1
OG0003494	XP_005852059.1	PSC68154.1
OG0003495	XP_005850072.1	PSC72547.1
OG0003496	XP_005846947.1	PSC72251.1
OG0003497	XP_005851785.1	PSC74910.1
OG0003498	XP_005852144.1	PSC75008.1
OG0003499	XP_005852137.1	PSC74844.1
OG0003500	XP_005851810.1	PSC75014.1
OG0003501	XP_005851794.1	PSC75129.1
OG0003502	XP_005852142.1	PSC74821.1
OG0003503	XP_005851787.1	PSC75147.1
OG0003504	XP_005852124.1	PSC74860.1
OG0003505	XP_005846072.1	PSC71962.1
OG0003506	XP_005846863.1	PSC72338.1
OG0003507	XP_005852050.1	PSC68444.1, PSC68453.1
OG0003508	XP_005847243.1	PSC75641.1
OG0003509	XP_005851710.1	PSC68478.1
OG0003510	XP_005851704.1	PSC68449.1
OG0003511	XP_005852042.1	PSC68443.1
OG0003512	XP_005852034.1	PSC68479.1
OG0003513	XP_005851703.1	PSC68431.1
OG0003514	XP_005852037.1	PSC68435.1
OG0003515	XP_005850455.1	PSC69745.1
OG0003516	XP_005847342.1	PSC70305.1
OG0003517	XP_005852033.1	PSC68407.1
OG0003519	XP_005851688.1	PSC68486.1
OG0003520	XP_005852018.1	PSC68408.1
OG0003521	XP_005851659.1	PSC67342.1
OG0003522	XP_005851976.1	PSC67344.1
OG0003523	XP_005847236.1	PSC75584.1
OG0003524	XP_005843237.1	PSC69300.1
OG0003525	XP_005851998.1	PSC74905.1
OG0003526	XP_005851671.1	PSC75029.1
OG0003527	XP_005851993.1	PSC74879.1
OG0003528	XP_005852088.1	PSC75167.1
OG0003529	XP_005852076.1	PSC74993.1
OG0003530	XP_005852183.1	PSC69390.1
OG0003531	XP_005852179.1	PSC69324.1
OG0003532	XP_005851732.1	PSC74980.1
OG0003533	XP_005851727.1	PSC68158.1
OG0003534	XP_005851725.1	PSC68147.1
OG0003535	XP_005852064.1	PSC68151.1
OG0003536	XP_005852087.1	PSC74856.1, PSC75031.1
OG0003537	XP_005846446.1	PSC71344.1
OG0003538	XP_005842956.1	PSC70700.1
OG0003539	XP_005851741.1	PSC74953.1
OG0003540	XP_005846351.1	PSC69690.1
OG0003541	XP_005852084.1	PSC74814.1
OG0003542	XP_005851851.1	PSC69429.1
OG0003543	XP_005843815.1	PSC73347.1
OG0003544	XP_005852069.1	PSC68148.1
OG0003545	XP_005845068.1	PSC75645.1
OG0003546	XP_005852245.1	PSC74135.1
OG0003547	XP_005852234.1	PSC74194.1
OG0003548	XP_005851913.1	PSC73997.1
OG0003549	XP_005851918.1	PSC74295.1
OG0003550	XP_005847378.1	PSC75479.1
OG0003551	XP_005852078.1	PSC75073.1
OG0003552	XP_005851737.1	PSC74970.1
OG0003553	XP_005851735.1	PSC75074.1
OG0003554	XP_005852075.1	PSC74853.1
OG0003555	XP_005851733.1	PSC74957.1
OG0003556	XP_005844294.1	PSC73283.1
OG0003557	XP_005844298.1	PSC73382.1
OG0003558	XP_005842586.1	PSC75230.1
OG0003559	XP_005852123.1	PSC70491.1
OG0003560	XP_005844444.1	PSC73297.1
OG0003561	XP_005844428.1	PSC70632.1
OG0003562	XP_005844530.1	PSC70059.1
OG0003563	XP_005844343.1	PSC70649.1
OG0003564	XP_005845098.1	PSC73731.1
OG0003565	XP_005845048.1	PSC70630.1
OG0003566	XP_005844361.1	PSC73254.1
OG0003567	XP_005851881.1	PSC73328.1
OG0003568	XP_005843479.1	PSC74689.1
OG0003569	XP_005843509.1	PSC75219.1
OG0003570	XP_005842690.1	PSC75075.1
OG0003571	XP_005844442.1	PSC73466.1
OG0003572	XP_005844751.1	PSC71747.1
OG0003573	XP_005843516.1	PSC74452.1
OG0003574	XP_005849037.1	PSC67428.1
OG0003575	XP_005847852.1	PSC74302.1
OG0003576	XP_005849235.1	PSC76168.1
OG0003577	XP_005849018.1	PSC67438.1
OG0003578	XP_005849228.1	PSC67420.1
OG0003579	XP_005849233.1	PSC67427.1
OG0003580	XP_005849028.1	PSC67449.1
OG0003581	XP_005849022.1	PSC67444.1
OG0003582	XP_005849038.1	PSC76990.1
OG0003583	XP_005845213.1	PSC68605.1
OG0003584	XP_005849137.1	PSC72998.1
OG0003585	XP_005845720.1	PSC67377.1
OG0003586	XP_005849343.1	PSC73183.1
OG0003587	XP_005849345.1	PSC73040.1
OG0003588	XP_005849340.1	PSC73036.1
OG0003589	XP_005849136.1	PSC73026.1
OG0003590	XP_005849333.1	PSC73137.1
OG0003591	XP_005849334.1	PSC72970.1
OG0003592	XP_005849337.1	PSC73022.1
OG0003593	XP_005849295.1	PSC76512.1
OG0003594	XP_005849285.1	PSC76991.1
OG0003595	XP_005850281.1	PSC76282.1
OG0003596	XP_005849296.1	PSC76228.1
OG0003597	XP_005846860.1	PSC72312.1
OG0003598	XP_005846861.1	PSC72250.1
OG0003599	XP_005849281.1	PSC76737.1
OG0003600	XP_005849082.1	PSC76652.1
OG0003602	XP_005849286.1	PSC76066.1
OG0003603	XP_005845196.1	PSC73611.1
OG0003604	XP_005849071.1	PSC76974.1
OG0003605	XP_005849275.1	PSC76074.1
OG0003606	XP_005849269.1	PSC77070.1
OG0003607	XP_005849068.1	PSC77003.1
OG0003608	XP_005849271.1	PSC76609.1
OG0003610	XP_005849066.1	PSC76987.1
OG0003611	XP_005849308.1	PSC76034.1
OG0003612	XP_005849273.1	PSC76876.1
OG0003613	XP_005848694.1	PSC73339.1
OG0003614	XP_005849095.1	PSC76382.1
OG0003616	XP_005850206.1	PSC69784.1
OG0003617	XP_005849276.1	PSC76393.1
OG0003618	XP_005849073.1	PSC76995.1
OG0003619	XP_005849096.1	PSC76391.1
OG0003620	XP_005849327.1	PSC73015.1
OG0003621	XP_005849126.1	PSC73090.1
OG0003622	XP_005849065.1	PSC76095.1
OG0003623	XP_005849268.1	PSC76577.1
OG0003624	XP_005849265.1	PSC76341.1
OG0003625	XP_005849266.1	PSC76917.1
OG0003626	XP_005849267.1	PSC76508.1
OG0003627	XP_005849063.1	PSC76119.1
OG0003628	XP_005846723.1	PSC75868.1
OG0003629	XP_005849263.1	PSC76785.1
OG0003630	XP_005849059.1	PSC76688.1
OG0003631	XP_005849262.1	PSC76636.1
OG0003632	XP_005849057.1	PSC76744.1
OG0003633	XP_005849056.1	PSC76800.1
OG0003634	XP_005849192.1	PSC72988.1
OG0003635	XP_005849387.1	PSC73203.1
OG0003636	XP_005849193.1	PSC73140.1
OG0003637	XP_005849331.1	PSC73105.1
OG0003639	XP_005849104.1	PSC76104.1
OG0003640	XP_005849321.1	PSC76410.1
OG0003641	XP_005849317.1	PSC76384.1
OG0003642	XP_005851270.1	PSC73722.1
OG0003643	XP_005849114.1	PSC73361.1
OG0003644	XP_005849113.1	PSC76070.1
OG0003645	XP_005849182.1	PSC73210.1
OG0003646	XP_005849185.1	PSC73113.1
OG0003647	XP_005849254.1	PSC76730.1
OG0003648	XP_005849111.1	PSC76278.1
OG0003649	XP_005849320.1	PSC76108.1
OG0003650	XP_005849371.1	PSC73152.1
OG0003651	XP_005849372.1	PSC73109.1
OG0003652	XP_005849176.1	PSC73057.1
OG0003653	XP_005842950.1	PSC70821.1
OG0003654	XP_005849200.1	PSC73174.1
OG0003655	XP_005849188.1	PSC73101.1, PSC73100.1
OG0003656	XP_005849386.1	PSC73032.1
OG0003657	XP_005849375.1	PSC73008.1
OG0003658	XP_005849397.1, XP_005849398.1	PSC72987.1
OG0003659	XP_005849399.1	PSC73205.1
OG0003660	XP_005849153.1	PSC73085.1
OG0003661	XP_005849196.1	PSC72946.1
OG0003662	XP_005849197.1	PSC73003.1
OG0003663	XP_005846857.1	PSC72184.1
OG0003664	XP_005849174.1	PSC73051.1
OG0003665	XP_005849373.1	PSC73122.1
OG0003666	XP_005849374.1	PSC73176.1
OG0003667	XP_005849396.1	PSC72993.1
OG0003668	XP_005849401.1	PSC69156.1
OG0003669	XP_005849162.1, XP_005849161.1	PSC73189.1
