Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_variabilis_genome_proteins
OG0003021	PSC71537.1	XP_005850392.1
OG0003022	PSC75340.1	XP_005847223.1
OG0003023	PSC68130.1	XP_005850408.1
OG0003024	PSC75519.1	XP_005847220.1
OG0003025	PSC75680.1	XP_005847362.1
OG0003026	PSC75422.1	XP_005850470.1
OG0003027	PSC72409.1	XP_005850320.1
OG0003028	PSC72523.1	XP_005850314.1
OG0003029	PSC72709.1	XP_005850365.1
OG0003030	PSC71593.1	XP_005850379.1
OG0003031	PSC72904.1	XP_005850124.1
OG0003032	PSC71665.1	XP_005850125.1
OG0003033	PSC71587.1	XP_005850368.1
OG0003034	PSC71638.1	XP_005850126.1
OG0003035	PSC71633.1	XP_005850369.1
OG0003036	PSC71553.1	XP_005850128.1
OG0003037	PSC71466.1	XP_005850372.1
OG0003038	PSC71546.1	XP_005850373.1
OG0003039	PSC72914.1	XP_005850359.1
OG0003040	PSC72667.1	XP_005850362.1
OG0003041	PSC72797.1	XP_005850118.1
OG0003042	PSC72898.1	XP_005850117.1
OG0003043	PSC72831.1	XP_005850119.1
OG0003044	PSC72793.1	XP_005850363.1
OG0003045	PSC71522.1	XP_005850377.1
OG0003046	PSC71478.1	XP_005850376.1
OG0003047	PSC71517.1	XP_005850127.1
OG0003048	PSC71452.1	XP_005850375.1
OG0003049	PSC72790.1	XP_005850115.1
OG0003050	PSC72778.1	XP_005850361.1
OG0003051	PSC75631.1	XP_005847385.1
OG0003052	PSC71512.1	XP_005850381.1
OG0003053	PSC72499.1	XP_005850274.1
OG0003054	PSC73276.1	XP_005844254.1
OG0003055	PSC72444.1	XP_005850271.1
OG0003056	PSC72421.1	XP_005850020.1
OG0003057	PSC72564.1	XP_005850024.1
OG0003058	PSC72493.1	XP_005850027.1
OG0003059	PSC72504.1	XP_005850058.1
OG0003060	PSC72293.1	XP_005846943.1
OG0003061	PSC72106.1	XP_005847135.1
OG0003062	PSC72278.1	XP_005846940.1
OG0003063	PSC68442.1	XP_005851687.1
OG0003064	PSC72261.1	XP_005846838.1
OG0003065	PSC72264.1	XP_005847056.1
OG0003066	PSC72163.1	XP_005846880.1
OG0003067	PSC72299.1	XP_005847057.1
OG0003068	PSC72286.1	XP_005847015.1
OG0003069	PSC72220.1	XP_005847017.1
OG0003070	PSC72242.1	XP_005846839.1
OG0003071	PSC72164.1	XP_005847060.1
OG0003072	PSC72213.1	XP_005847061.1
OG0003073	PSC72178.1	XP_005846883.1
OG0003074	PSC72057.1	XP_005847062.1
OG0003075	PSC72139.1	XP_005847066.1
OG0003076	PSC72118.1	XP_005846886.1
OG0003077	PSC72302.1	XP_005847067.1
OG0003078	PSC72238.1	XP_005847068.1
OG0003079	PSC72300.1	XP_005846888.1
OG0003080	PSC72276.1	XP_005847069.1
OG0003081	PSC72309.1	XP_005847073.1
OG0003082	PSC72172.1	XP_005847074.1
OG0003085	PSC72235.1	XP_005846893.1
OG0003086	PSC72240.1	XP_005846890.1
OG0003087	PSC72204.1	XP_005847072.1
OG0003088	PSC72231.1	XP_005846892.1
OG0003089	PSC71160.1	XP_005846985.1
OG0003090	PSC71049.1	XP_005847195.1
OG0003091	PSC71069.1	XP_005846988.1
OG0003092	PSC72097.1	XP_005847127.1
OG0003093	PSC72194.1	XP_005847133.1
OG0003094	PSC72085.1	XP_005847130.1
OG0003095	PSC72228.1	XP_005846936.1
OG0003096	PSC72237.1	XP_005846926.1
OG0003097	PSC72291.1	XP_005847115.1
OG0003098	PSC72155.1	XP_005846927.1
OG0003099	PSC72062.1	XP_005847116.1
OG0003100	PSC72253.1	XP_005846928.1
OG0003101	PSC72094.1	XP_005847117.1
OG0003102	PSC72070.1	XP_005846929.1
OG0003103	PSC72064.1	XP_005847120.1
OG0003104	PSC72219.1	XP_005846930.1
OG0003106	PSC72065.1	XP_005846933.1
OG0003107	PSC72211.1	XP_005846934.1
OG0003110	PSC73685.1	XP_005845211.1
OG0003111	PSC68648.1	XP_005845212.1
OG0003112	PSC68189.1	XP_005845047.1
OG0003113	PSC67326.1	XP_005845137.1
OG0003114	PSC69251.1	XP_005844948.1
OG0003115	PSC67324.1	XP_005845140.1
OG0003116	PSC67330.1	XP_005845138.1
OG0003117	PSC68611.1	XP_005845239.1
OG0003118	PSC68636.1	XP_005845123.1
OG0003119	PSC73465.1	XP_005844375.1
OG0003120	PSC68593.1	XP_005845126.1
OG0003121	PSC68651.1	XP_005846836.1
OG0003122	PSC68592.1	XP_005846698.1
OG0003123	PSC72239.1	XP_005846855.1
OG0003124	PSC68607.1	XP_005846833.1
OG0003125	PSC68565.1	XP_005846694.1
OG0003126	PSC68633.1	XP_005846832.1
OG0003127	PSC72241.1	XP_005847037.1
OG0003128	PSC75279.1	XP_005844639.1
OG0003130	PSC76053.1	XP_005849661.1
OG0003132	PSC68932.1	XP_005846825.1
OG0003133	PSC68940.1	XP_005846689.1
OG0003134	PSC68981.1	XP_005846827.1
OG0003135	PSC68966.1	XP_005846673.1
OG0003136	PSC73327.1	XP_005844360.1
OG0003137	PSC68215.1	XP_005845150.1
OG0003138	PSC72131.1	XP_005846866.1
OG0003139	PSC75625.1	XP_005846706.1
OG0003140	PSC68227.1	XP_005845151.1
OG0003141	PSC68206.1	XP_005845046.1
OG0003142	PSC67612.1	XP_005845949.1
OG0003143	PSC67627.1	XP_005846084.1
OG0003144	PSC67639.1	XP_005845952.1
OG0003145	PSC67613.1	XP_005845954.1
OG0003146	PSC67617.1	XP_005845953.1
OG0003147	PSC67635.1	XP_005846083.1
OG0003148	PSC71943.1	XP_005845980.1
OG0003149	PSC71930.1	XP_005846115.1
OG0003150	PSC72029.1	XP_005845990.1
OG0003151	PSC72040.1	XP_005845991.1
OG0003152	PSC71851.1	XP_005845992.1
OG0003153	PSC72039.1	XP_005845994.1
OG0003154	PSC71863.1	XP_005846119.1
OG0003155	PSC71886.1	XP_005846177.1
OG0003156	PSC71911.1	XP_005846047.1
OG0003157	PSC67857.1	XP_005846183.1
OG0003159	PSC67625.1	XP_005845956.1
OG0003160	PSC67616.1	XP_005846089.1
OG0003161	PSC75728.1	XP_005847227.1
OG0003162	PSC71056.1	XP_005847194.1
OG0003163	PSC69226.1	XP_005845937.1
OG0003164	PSC67622.1	XP_005845957.1
OG0003165	PSC71985.1	XP_005846171.1
OG0003166	PSC67611.1	XP_005846090.1
OG0003167	PSC73666.1	XP_005845209.1
OG0003168	PSC71979.1	XP_005845958.1
OG0003169	PSC69818.1	XP_005850449.1
OG0003170	PSC68237.1	XP_005845061.1
OG0003172	PSC72033.1	XP_005845968.1
OG0003173	PSC71941.1	XP_005845973.1
OG0003175	PSC71961.1	XP_005845976.1
OG0003176	PSC71995.1	XP_005846112.1
OG0003177	PSC71876.1	XP_005845989.1
OG0003178	PSC71925.1	XP_005845979.1
OG0003179	PSC72006.1	XP_005845977.1
OG0003180	PSC71853.1	XP_005846106.1
OG0003182	PSC71862.1	XP_005846109.1
OG0003183	PSC72021.1	XP_005846142.1
OG0003184	PSC71969.1	XP_005846019.1
OG0003185	PSC71996.1	XP_005846152.1
OG0003186	PSC71999.1	XP_005846154.1
OG0003187	PSC71924.1	XP_005846014.1
OG0003188	PSC72026.1	XP_005846164.1
OG0003189	PSC71978.1	XP_005845978.1
OG0003190	PSC72004.1	XP_005845983.1
OG0003191	PSC73489.1	XP_005850775.1
OG0003192	PSC71974.1	XP_005846028.1
OG0003193	PSC71879.1	XP_005846160.1
OG0003194	PSC72022.1	XP_005846011.1
OG0003195	PSC72028.1	XP_005846128.1
OG0003196	PSC72019.1	XP_005846130.1
OG0003198	PSC71955.1	XP_005846151.1
OG0003199	PSC72177.1	XP_005846924.1
OG0003200	PSC71949.1	XP_005846145.1
OG0003201	PSC71905.1	XP_005842579.1, XP_005846155.1
OG0003202	PSC71923.1	XP_005846168.1
OG0003203	PSC74055.1	XP_005852229.1
OG0003204	PSC71957.1	XP_005846170.1
OG0003205	PSC72025.1	XP_005846169.1
OG0003206	PSC71901.1	XP_005846036.1
OG0003207	PSC72041.1	XP_005846167.1
OG0003208	PSC71945.1	XP_005846034.1
OG0003211	PSC67481.1	XP_005843860.1
OG0003212	PSC67669.1	XP_005846060.1
OG0003214	PSC67642.1	XP_005846063.1
OG0003215	PSC67878.1	XP_005846057.1
OG0003216	PSC67663.1	XP_005846207.1
OG0003217	PSC67852.1	XP_005846193.1
OG0003218	PSC67831.1	XP_005846184.1
OG0003219	PSC67836.1	XP_005846052.1
OG0003220	PSC67872.1	XP_005846053.1
OG0003222	PSC67583.1	XP_005845000.1
OG0003223	PSC67853.1	XP_005846182.1
OG0003224	PSC73595.1	XP_005844905.1
OG0003225	PSC73346.1	XP_005845004.1
OG0003226	PSC67672.1	XP_005846204.1
OG0003227	PSC67686.1	XP_005846064.1
OG0003228	PSC67678.1	XP_005846206.1
OG0003229	PSC67685.1	XP_005844920.1
OG0003230	PSC73161.1	XP_005849173.1
OG0003231	PSC67646.1	XP_005845023.1
OG0003233	PSC67654.1	XP_005846059.1
OG0003234	PSC67175.1	XP_005846200.1
OG0003235	PSC67648.1	XP_005846199.1
OG0003236	PSC67651.1	XP_005846066.1
OG0003237	PSC67262.1	XP_005845013.1
OG0003238	PSC67253.1	XP_005844917.1
OG0003239	PSC67263.1	XP_005845014.1
OG0003240	PSC71701.1	XP_005844655.1
OG0003241	PSC72061.1	XP_005847082.1
OG0003242	PSC70559.1	XP_005843618.1
OG0003243	PSC72248.1	XP_005847029.1
OG0003244	PSC70634.1	XP_005847300.1
OG0003245	PSC75611.1	XP_005847387.1
OG0003246	PSC74027.1	XP_005843636.1
OG0003248	PSC70510.1	XP_005843555.1
OG0003249	PSC76390.1	XP_005849893.1
OG0003251	PSC74348.1	XP_005843620.1
OG0003252	PSC74109.1	XP_005843570.1
OG0003253	PSC70621.1	XP_005843619.1
OG0003254	PSC70521.1	XP_005843567.1
OG0003255	PSC70645.1	XP_005843565.1
OG0003256	PSC70492.1	XP_005846027.1
OG0003257	PSC72426.1	XP_005850317.1
OG0003258	PSC72226.1	XP_005846851.1
OG0003259	PSC73978.1	XP_005843623.1
OG0003260	PSC74119.1	XP_005843577.1
OG0003261	PSC74042.1	XP_005843625.1
OG0003262	PSC75556.1	XP_005847383.1
OG0003263	PSC74163.1	XP_005843575.1
OG0003264	PSC70539.1	XP_005843611.1
OG0003265	PSC75398.1	XP_005847379.1
OG0003266	PSC75812.1	XP_005847233.1
OG0003267	PSC75807.1	XP_005847376.1
OG0003268	PSC75312.1	XP_005847375.1
OG0003269	PSC75822.1	XP_005847232.1
OG0003270	PSC75956.1	XP_005847372.1
OG0003271	PSC75268.1	XP_005847231.1
OG0003272	PSC75975.1	XP_005847366.1
OG0003273	PSC75988.1	XP_005847368.1
OG0003274	PSC75865.1	XP_005847230.1
OG0003275	PSC75544.1	XP_005847367.1
OG0003276	PSC75594.1	XP_005847364.1
OG0003277	PSC75607.1	XP_005847222.1
OG0003278	PSC69769.1	XP_005850431.1
OG0003279	PSC69752.1	XP_005850179.1
OG0003280	PSC69737.1	XP_005850432.1
OG0003281	PSC69727.1	XP_005850426.1
OG0003282	PSC68089.1	XP_005850411.1
OG0003283	PSC71594.1	XP_005850387.1
OG0003284	PSC71565.1	XP_005850141.1
OG0003285	PSC71547.1	XP_005850396.1
OG0003286	PSC68080.1	XP_005850155.1
OG0003287	PSC68118.1	XP_005850413.1
OG0003288	PSC68116.1	XP_005850163.1
OG0003289	PSC68085.1	XP_005850162.1
OG0003290	PSC68107.1	XP_005850415.1
OG0003291	PSC68131.1	XP_005850417.1
OG0003292	PSC69823.1	XP_005850421.1
OG0003293	PSC69739.1	XP_005850171.1
OG0003294	PSC69776.1	XP_005850419.1
OG0003296	PSC72731.1	XP_005850565.1
OG0003297	PSC70289.1	XP_005847840.1
OG0003298	PSC71386.1	XP_005850339.1
OG0003299	PSC70618.1	XP_005843557.1
OG0003300	PSC72767.1	XP_005850857.1
OG0003301	PSC72619.1	XP_005850850.1
OG0003302	PSC72697.1	XP_005850558.1
OG0003303	PSC72756.1	XP_005850851.1
OG0003304	PSC71536.1	XP_005850638.1
OG0003305	PSC71543.1	XP_005850635.1
OG0003306	PSC71557.1	XP_005850646.1
OG0003307	PSC72675.1	XP_005850975.1
OG0003308	PSC72642.1	XP_005850935.1
OG0003310	PSC72761.1	XP_005850654.1
OG0003311	PSC71611.1	XP_005850652.1
OG0003312	PSC71607.1	XP_005850650.1
OG0003313	PSC71572.1	XP_005850927.1
OG0003314	PSC70885.1	XP_005847270.1
OG0003315	PSC72654.1	XP_005850700.1
OG0003316	PSC72716.1	XP_005850988.1
OG0003317	PSC72652.1	XP_005850709.1
OG0003318	PSC72783.1	XP_005850987.1
OG0003319	PSC72677.1	XP_005850710.1
OG0003320	PSC72869.1	XP_005850980.1
OG0003321	PSC72887.1	XP_005850711.1
OG0003322	PSC69028.1	XP_005850757.1
OG0003323	PSC69033.1	XP_005851039.1
OG0003324	PSC72780.1	XP_005850990.1
OG0003325	PSC72137.1	XP_005847025.1
OG0003327	PSC72717.1	XP_005850713.1
OG0003328	PSC72776.1	XP_005850991.1
OG0003329	PSC72779.1	XP_005850993.1
OG0003330	PSC72699.1	XP_005850998.1
OG0003331	PSC72706.1	XP_005850720.1
OG0003332	PSC72782.1	XP_005851002.1
OG0003333	PSC72823.1	XP_005850721.1
OG0003334	PSC72602.1	XP_005850716.1
OG0003335	PSC69082.1	XP_005850745.1
OG0003336	PSC69021.1	XP_005850752.1
OG0003337	PSC69017.1	XP_005851035.1
OG0003338	PSC72722.1	XP_005850717.1
OG0003340	PSC69066.1	XP_005851026.1
OG0003341	PSC71641.1	XP_005850665.1
OG0003343	PSC71619.1	XP_005850664.1
OG0003344	PSC72889.1, PSC72890.1	XP_005850666.1
OG0003345	PSC72883.1	XP_005850949.1
OG0003346	PSC72785.1	XP_005850953.1
OG0003347	PSC72698.1	XP_005850670.1
OG0003348	PSC72777.1	XP_005850669.1
OG0003349	PSC72689.1	XP_005850952.1
OG0003350	PSC72813.1	XP_005850956.1
OG0003351	PSC72899.1	XP_005850673.1
OG0003352	PSC72877.1	XP_005850674.1
OG0003353	PSC72700.1	XP_005850960.1
OG0003354	PSC72885.1	XP_005850961.1
OG0003355	PSC72884.1	XP_005850963.1
OG0003357	PSC73554.1	XP_005845100.1
OG0003358	PSC76706.1, PSC76704.1	XP_005852017.1
OG0003359	PSC69023.1	XP_005851012.1
OG0003360	PSC70221.1	XP_005844547.1
OG0003361	PSC69044.1	XP_005851016.1
OG0003362	PSC72911.1	XP_005850684.1
OG0003363	PSC72612.1	XP_005850968.1
OG0003365	PSC69054.1	XP_005850732.1
OG0003366	PSC75770.1	XP_005848786.1
OG0003367	PSC69046.1	XP_005851023.1
OG0003368	PSC69083.1	XP_005851022.1
OG0003369	PSC69062.1	XP_005850737.1
OG0003370	PSC69034.1	XP_005850734.1
OG0003371	PSC68992.1	XP_005851018.1
OG0003372	PSC69071.1	XP_005851017.1
OG0003373	PSC69006.1	XP_005850733.1
OG0003374	PSC71599.1	XP_005850657.1
OG0003375	PSC71468.1	XP_005850940.1
OG0003376	PSC67921.1	XP_005843478.1
OG0003377	PSC72758.1	XP_005850978.1
OG0003378	PSC72895.1	XP_005850979.1
OG0003380	PSC72862.1	XP_005850703.1
OG0003382	PSC72671.1	XP_005850688.1
OG0003383	PSC72712.1	XP_005850704.1
OG0003384	PSC75311.1	XP_005847394.1
OG0003385	PSC73362.1	XP_005843608.1
OG0003386	PSC68949.1	XP_005851880.1
OG0003387	PSC73707.1	XP_005845168.1
OG0003389	PSC75597.1	XP_005847238.1
OG0003390	PSC71455.1	XP_005850901.1
OG0003391	PSC71555.1	XP_005850621.1
OG0003392	PSC71637.1	XP_005850900.1
OG0003393	PSC71621.1	XP_005850623.1
OG0003394	PSC71502.1	XP_005850624.1
OG0003395	PSC69004.1	XP_005851010.1
OG0003396	PSC71534.1	XP_005850912.1
OG0003397	PSC71656.1	XP_005850625.1
OG0003398	PSC71491.1	XP_005850626.1
OG0003399	PSC76221.1	XP_005848027.1
OG0003401	PSC69032.1	XP_005851005.1
OG0003402	PSC69030.1	XP_005850724.1
OG0003403	PSC68993.1	XP_005850727.1
OG0003404	PSC69063.1	XP_005850750.1
OG0003405	PSC69016.1	XP_005851037.1
OG0003406	PSC69072.1	XP_005850754.1
OG0003407	PSC69043.1	XP_005850764.1
OG0003408	PSC69078.1	XP_005851052.1
OG0003409	PSC69031.1	XP_005851053.1
OG0003410	PSC71817.1	XP_005844653.1
OG0003411	PSC69061.1	XP_005850767.1
OG0003412	PSC68639.1	XP_005851077.1
OG0003413	PSC69011.1	XP_005850772.1
OG0003414	PSC68438.1	XP_005842977.1
OG0003415	PSC75042.1	XP_005845858.1
OG0003416	PSC74913.1	XP_005845830.1
OG0003417	PSC67371.1	XP_005845838.1
OG0003418	PSC75091.1	XP_005845874.1
OG0003419	PSC73751.1	XP_005847283.1
OG0003420	PSC75199.1	XP_005845763.1
OG0003421	PSC74869.1	XP_005845873.1
OG0003422	PSC67375.1	XP_005845760.1
OG0003423	PSC67380.1	XP_005845871.1
OG0003424	PSC67391.1	XP_005845751.1
OG0003425	PSC69991.1	XP_005845775.1
OG0003426	PSC74892.1	XP_005845831.1
OG0003427	PSC70078.1	XP_005845897.1
OG0003428	PSC70018.1	XP_005845894.1
OG0003429	PSC70010.1	XP_005845889.1
OG0003430	PSC70004.1	XP_005845892.1
OG0003431	PSC70092.1	XP_005845898.1
OG0003433	PSC70094.1	XP_005845784.1
OG0003434	PSC70048.1	XP_005845778.1
OG0003435	PSC75135.1	XP_005845886.1
OG0003436	PSC75081.1	XP_005845766.1
OG0003437	PSC75062.1	XP_005845872.1
OG0003438	PSC75039.1	XP_005845880.1
OG0003439	PSC74959.1	XP_005851678.1
OG0003440	PSC75000.1	XP_005852007.1
OG0003441	PSC75094.1	XP_005851677.1
OG0003442	PSC74816.1	XP_005852006.1
OG0003443	PSC74893.1	XP_005852009.1
OG0003444	PSC74855.1	XP_005851680.1
OG0003445	PSC68423.1	XP_005851684.1
OG0003446	PSC68146.1	XP_005852022.1
OG0003447	PSC68167.1	XP_005851692.1
OG0003449	PSC67346.1	XP_005851985.1
OG0003450	PSC69692.1	XP_005846523.1
OG0003452	PSC74813.1	XP_005852082.1
OG0003453	PSC68174.1	XP_005852026.1
OG0003454	PSC68162.1	XP_005851695.1
OG0003455	PSC67349.1	XP_005851667.1
OG0003456	PSC67338.1	XP_005851987.1
OG0003457	PSC67350.1	XP_005851666.1
OG0003458	PSC74820.1	XP_005851675.1
OG0003459	PSC75061.1	XP_005852002.1
OG0003460	PSC75028.1	XP_005851997.1
OG0003461	PSC75099.1	XP_005851674.1
OG0003462	PSC74815.1	XP_005852070.1
OG0003463	PSC74866.1	XP_005851729.1
OG0003465	PSC68476.1	XP_005843199.1
OG0003466	PSC67297.1	XP_005843277.1
OG0003467	PSC74966.1	XP_005851754.1
OG0003469	PSC74885.1	XP_005851750.1
OG0003470	PSC75040.1	XP_005851768.1
OG0003471	PSC75158.1	XP_005852105.1
OG0003472	PSC75194.1	XP_005852095.1
OG0003473	PSC75049.1	XP_005851763.1
OG0003474	PSC76207.1	XP_005852322.1
OG0003476	PSC75161.1	XP_005852099.1
OG0003477	PSC75190.1	XP_005852097.1
OG0003478	PSC74880.1	XP_005852108.1
OG0003479	PSC74903.1	XP_005852116.1
OG0003480	PSC75226.1	XP_005851775.1
OG0003481	PSC74942.1	XP_005852114.1
OG0003482	PSC74891.1	XP_005852115.1
OG0003483	PSC74972.1	XP_005852118.1
OG0003484	PSC74870.1	XP_005851784.1
OG0003485	PSC68157.1	XP_005852060.1
OG0003486	PSC68145.1, PSC68144.1	XP_005851718.1
OG0003487	PSC68154.1	XP_005852059.1
OG0003488	PSC72547.1	XP_005850072.1
OG0003489	PSC72251.1	XP_005846947.1
OG0003490	PSC74910.1	XP_005851785.1
OG0003491	PSC75008.1	XP_005852144.1
OG0003492	PSC74844.1	XP_005852137.1
OG0003493	PSC75014.1	XP_005851810.1
OG0003494	PSC75129.1	XP_005851794.1
OG0003495	PSC74821.1	XP_005852142.1
OG0003496	PSC75147.1	XP_005851787.1
OG0003497	PSC74860.1	XP_005852124.1
OG0003498	PSC71962.1	XP_005846072.1
OG0003499	PSC72338.1	XP_005846863.1
OG0003500	PSC68453.1, PSC68444.1	XP_005852050.1
OG0003501	PSC75641.1	XP_005847243.1
OG0003502	PSC68478.1	XP_005851710.1
OG0003503	PSC68449.1	XP_005851704.1
OG0003504	PSC68443.1	XP_005852042.1
OG0003505	PSC68479.1	XP_005852034.1
OG0003506	PSC68431.1	XP_005851703.1
OG0003507	PSC68435.1	XP_005852037.1
OG0003508	PSC69745.1	XP_005850455.1
OG0003509	PSC70305.1	XP_005847342.1
OG0003510	PSC68407.1	XP_005852033.1
OG0003512	PSC68486.1	XP_005851688.1
OG0003513	PSC68408.1	XP_005852018.1
OG0003514	PSC67342.1	XP_005851659.1
OG0003515	PSC67344.1	XP_005851976.1
OG0003516	PSC75584.1	XP_005847236.1
OG0003517	PSC69300.1	XP_005843237.1
OG0003518	PSC74905.1	XP_005851998.1
OG0003519	PSC75029.1	XP_005851671.1
OG0003520	PSC74879.1	XP_005851993.1
OG0003521	PSC75167.1	XP_005852088.1
OG0003522	PSC74993.1	XP_005852076.1
OG0003523	PSC69390.1	XP_005852183.1
OG0003524	PSC69324.1	XP_005852179.1
OG0003525	PSC74980.1	XP_005851732.1
OG0003526	PSC68158.1	XP_005851727.1
OG0003527	PSC68147.1	XP_005851725.1
OG0003528	PSC68151.1	XP_005852064.1
OG0003529	PSC75031.1, PSC74856.1	XP_005852087.1
OG0003530	PSC71344.1	XP_005846446.1
OG0003531	PSC70700.1	XP_005842956.1
OG0003532	PSC74953.1	XP_005851741.1
OG0003533	PSC69690.1	XP_005846351.1
OG0003534	PSC74814.1	XP_005852084.1
OG0003535	PSC69429.1	XP_005851851.1
OG0003536	PSC73347.1	XP_005843815.1
OG0003537	PSC68148.1	XP_005852069.1
OG0003538	PSC75645.1	XP_005845068.1
OG0003539	PSC74135.1	XP_005852245.1
OG0003540	PSC74194.1	XP_005852234.1
OG0003541	PSC73997.1	XP_005851913.1
OG0003542	PSC74295.1	XP_005851918.1
OG0003543	PSC75479.1	XP_005847378.1
OG0003544	PSC75073.1	XP_005852078.1
OG0003545	PSC74970.1	XP_005851737.1
OG0003546	PSC75074.1	XP_005851735.1
OG0003547	PSC74853.1	XP_005852075.1
OG0003548	PSC74957.1	XP_005851733.1
OG0003549	PSC73283.1	XP_005844294.1
OG0003550	PSC73382.1	XP_005844298.1
OG0003551	PSC75230.1	XP_005842586.1
OG0003552	PSC70491.1	XP_005852123.1
OG0003553	PSC73297.1	XP_005844444.1
OG0003554	PSC70632.1	XP_005844428.1
OG0003555	PSC70059.1	XP_005844530.1
OG0003556	PSC70649.1	XP_005844343.1
OG0003557	PSC73731.1	XP_005845098.1
OG0003558	PSC70630.1	XP_005845048.1
OG0003559	PSC73254.1	XP_005844361.1
OG0003560	PSC73328.1	XP_005851881.1
OG0003561	PSC74689.1	XP_005843479.1
OG0003562	PSC75219.1	XP_005843509.1
OG0003563	PSC75075.1	XP_005842690.1
OG0003564	PSC73466.1	XP_005844442.1
OG0003565	PSC71747.1	XP_005844751.1
OG0003566	PSC74452.1	XP_005843516.1
OG0003567	PSC67428.1	XP_005849037.1
OG0003568	PSC74302.1	XP_005847852.1
OG0003569	PSC76168.1	XP_005849235.1
OG0003570	PSC67438.1	XP_005849018.1
OG0003571	PSC67420.1	XP_005849228.1
OG0003572	PSC67427.1	XP_005849233.1
OG0003573	PSC67449.1	XP_005849028.1
OG0003574	PSC67421.1	XP_005849229.1
OG0003575	PSC67444.1	XP_005849022.1
OG0003576	PSC76990.1	XP_005849038.1
OG0003577	PSC68605.1	XP_005845213.1
OG0003578	PSC72998.1	XP_005849137.1
OG0003579	PSC67377.1	XP_005845720.1
OG0003580	PSC73183.1	XP_005849343.1
OG0003581	PSC73040.1	XP_005849345.1
OG0003582	PSC73036.1	XP_005849340.1
OG0003583	PSC73026.1	XP_005849136.1
OG0003584	PSC73137.1	XP_005849333.1
OG0003585	PSC72970.1	XP_005849334.1
OG0003586	PSC73022.1	XP_005849337.1
OG0003587	PSC76512.1	XP_005849295.1
OG0003588	PSC76991.1	XP_005849285.1
OG0003589	PSC76282.1	XP_005850281.1
OG0003590	PSC76228.1	XP_005849296.1
OG0003591	PSC72312.1	XP_005846860.1
OG0003592	PSC72250.1	XP_005846861.1
OG0003593	PSC76737.1	XP_005849281.1
OG0003594	PSC76652.1	XP_005849082.1
OG0003596	PSC76066.1	XP_005849286.1
OG0003597	PSC73611.1	XP_005845196.1
OG0003598	PSC76974.1	XP_005849071.1
OG0003599	PSC76074.1	XP_005849275.1
OG0003600	PSC77070.1	XP_005849269.1
OG0003601	PSC77003.1	XP_005849068.1
OG0003602	PSC76609.1	XP_005849271.1
OG0003604	PSC76987.1	XP_005849066.1
OG0003605	PSC76034.1	XP_005849308.1
OG0003606	PSC76876.1	XP_005849273.1
OG0003607	PSC73339.1	XP_005848694.1
OG0003608	PSC76382.1	XP_005849095.1
OG0003610	PSC69784.1	XP_005850206.1
OG0003611	PSC76393.1	XP_005849276.1
OG0003612	PSC76995.1	XP_005849073.1
OG0003613	PSC76391.1	XP_005849096.1
OG0003614	PSC73015.1	XP_005849327.1
OG0003615	PSC73090.1	XP_005849126.1
OG0003616	PSC76095.1	XP_005849065.1
OG0003617	PSC76577.1	XP_005849268.1
OG0003618	PSC76341.1	XP_005849265.1
OG0003619	PSC76917.1	XP_005849266.1
OG0003620	PSC76508.1	XP_005849267.1
OG0003621	PSC76119.1	XP_005849063.1
OG0003622	PSC75868.1	XP_005846723.1
OG0003623	PSC76785.1	XP_005849263.1
OG0003624	PSC76688.1	XP_005849059.1
OG0003625	PSC76636.1	XP_005849262.1
OG0003626	PSC76744.1	XP_005849057.1
OG0003627	PSC73125.1	XP_005849367.1
OG0003628	PSC76800.1	XP_005849056.1
OG0003629	PSC72988.1	XP_005849192.1
OG0003630	PSC73203.1	XP_005849387.1
OG0003631	PSC73140.1	XP_005849193.1
OG0003632	PSC73105.1	XP_005849331.1
OG0003634	PSC76104.1	XP_005849104.1
OG0003635	PSC76410.1	XP_005849321.1
OG0003636	PSC76384.1	XP_005849317.1
OG0003637	PSC73722.1	XP_005851270.1
OG0003638	PSC73361.1	XP_005849114.1
OG0003639	PSC76070.1	XP_005849113.1
OG0003640	PSC73210.1	XP_005849182.1
OG0003641	PSC73113.1	XP_005849185.1
OG0003642	PSC76730.1	XP_005849254.1
OG0003643	PSC76278.1	XP_005849111.1
OG0003644	PSC76108.1	XP_005849320.1
OG0003645	PSC73152.1	XP_005849371.1
OG0003646	PSC73109.1	XP_005849372.1
OG0003647	PSC73057.1	XP_005849176.1
OG0003648	PSC70821.1	XP_005842950.1
OG0003649	PSC73174.1	XP_005849200.1
OG0003650	PSC73100.1, PSC73101.1	XP_005849188.1
OG0003651	PSC73032.1	XP_005849386.1
OG0003652	PSC73008.1	XP_005849375.1
OG0003653	PSC72987.1	XP_005849397.1, XP_005849398.1
OG0003654	PSC73205.1	XP_005849399.1
OG0003655	PSC73085.1	XP_005849153.1
OG0003656	PSC72946.1	XP_005849196.1
OG0003657	PSC73003.1	XP_005849197.1
OG0003658	PSC72184.1	XP_005846857.1
OG0003659	PSC73051.1	XP_005849174.1
OG0003660	PSC73122.1	XP_005849373.1
OG0003661	PSC73176.1	XP_005849374.1
OG0003662	PSC72993.1	XP_005849396.1
OG0003663	PSC69156.1	XP_005849401.1
OG0003664	PSC73189.1	XP_005849162.1, XP_005849161.1
