Orthogroup	oneline_c_vulgaris_genome_proteins	oneline_c_variabilis_genome_proteins
OG0003606	KAI3434916.1	XP_005849273.1
OG0003607	KAI3427065.1	XP_005848694.1
OG0003608	KAI3434860.1	XP_005849095.1
OG0003609	KAI3434828.1	XP_005849116.1
OG0003610	KAI3428829.1	XP_005850206.1
OG0003611	KAI3434908.1	XP_005849276.1
OG0003612	KAI3434911.1	XP_005849073.1
OG0003613	KAI3434858.1	XP_005849096.1
OG0003614	KAI3434815.1	XP_005849327.1
OG0003615	KAI3434810.1	XP_005849126.1
OG0003616	KAI3434926.1	XP_005849065.1
OG0003617	KAI3434928.1	XP_005849268.1
OG0003618	KAI3434945.1	XP_005849265.1
OG0003619	KAI3434943.1	XP_005849266.1
OG0003620	KAI3434931.1	XP_005849267.1
OG0003621	KAI3434930.1	XP_005849063.1
OG0003622	KAI3423870.1	XP_005846723.1
OG0003623	KAI3434948.1	XP_005849263.1
OG0003624	KAI3434947.1	XP_005849059.1
OG0003625	KAI3434950.1	XP_005849262.1
OG0003626	KAI3434951.1	XP_005849057.1
OG0003627	KAI3434724.1	XP_005849367.1
OG0003628	KAI3434954.1	XP_005849056.1
OG0003629	KAI3434689.1	XP_005849192.1
OG0003630	KAI3434690.1	XP_005849387.1
OG0003631	KAI3434686.1	XP_005849193.1
OG0003632	KAI3434803.1	XP_005849331.1
OG0003634	KAI3434843.1	XP_005849104.1
OG0003635	KAI3434832.1	XP_005849321.1
OG0003636	KAI3434842.1, KAI3434841.1	XP_005849317.1
OG0003637	KAI3433445.1	XP_005851270.1
OG0003638	KAI3434831.1	XP_005849114.1
OG0003639	KAI3434833.1	XP_005849113.1
OG0003640	KAI3434707.1	XP_005849182.1
OG0003641	KAI3434697.1	XP_005849185.1
OG0003642	KAI3434959.1	XP_005849254.1
OG0003643	KAI3434835.1	XP_005849111.1
OG0003644	KAI3434836.1	XP_005849320.1
OG0003645	KAI3434720.1	XP_005849371.1
OG0003646	KAI3434718.1	XP_005849372.1
OG0003647	KAI3434717.1	XP_005849176.1
OG0003648	KAI3430988.1	XP_005842950.1
OG0003649	KAI3434664.1	XP_005849200.1
OG0003650	KAI3434693.1	XP_005849188.1
OG0003651	KAI3434691.1	XP_005849386.1
OG0003652	KAI3434708.1	XP_005849375.1
OG0003653	KAI3434673.1	XP_005849397.1, XP_005849398.1
OG0003654	KAI3434671.1	XP_005849399.1
OG0003655	KAI3434761.1	XP_005849153.1
OG0003656	KAI3434679.1	XP_005849196.1
OG0003657	KAI3434677.1	XP_005849197.1
OG0003658	KAI3438289.1	XP_005846857.1
OG0003659	KAI3434721.1	XP_005849174.1
OG0003660	KAI3434716.1	XP_005849373.1
OG0003661	KAI3434711.1	XP_005849374.1
OG0003662	KAI3434674.1	XP_005849396.1
OG0003663	KAI3434669.1	XP_005849401.1
OG0003665	KAI3434751.1	XP_005849356.1
OG0003666	KAI3434752.1, KAI3434753.1	XP_005849156.1
OG0003667	KAI3434747.1	XP_005849360.1
OG0003668	KAI3434967.1	XP_005849252.1
OG0003669	KAI3434970.1	XP_005849250.1
OG0003670	KAI3434971.1	XP_005849249.1
OG0003671	KAI3434968.1	XP_005849048.1
OG0003672	KAI3425076.1	XP_005846629.1
OG0003673	KAI3434469.1	XP_005843963.1
OG0003675	KAI3437946.1	XP_005847209.1
OG0003676	KAI3434626.1	XP_005849214.1
OG0003677	KAI3434633.1	XP_005849414.1
OG0003678	KAI3434632.1	XP_005849415.1
OG0003679	KAI3434631.1	XP_005849212.1
OG0003680	KAI3434650.1	XP_005849411.1
OG0003681	KAI3434652.1	XP_005849410.1
OG0003682	KAI3434651.1	XP_005849205.1
OG0003683	KAI3434599.1	XP_005849433.1
OG0003684	KAI3439136.1	XP_005843446.1
OG0003685	KAI3427068.1	XP_005848691.1
OG0003686	KAI3434604.1	XP_005849430.1
OG0003687	KAI3434608.1	XP_005849429.1
OG0003688	KAI3434566.1	XP_005843929.1
OG0003689	KAI3434567.1	XP_005843851.1
OG0003690	KAI3434506.1	XP_005843928.1
OG0003691	KAI3429822.1	XP_005851940.1
OG0003692	KAI3429828.1	XP_005852259.1
OG0003693	KAI3429788.1	XP_005851921.1
OG0003694	KAI3429787.1	XP_005852246.1
OG0003695	KAI3429829.1	XP_005851943.1
OG0003696	KAI3429870.1	XP_005851964.1
OG0003697	KAI3429869.1	XP_005852277.1
OG0003698	KAI3429799.1	XP_005852252.1
OG0003699	KAI3429800.1	XP_005851930.1
OG0003700	KAI3429797.1	XP_005852251.1
OG0003701	KAI3429865.1	XP_005852269.1
OG0003702	KAI3429843.1	XP_005852261.1
OG0003703	KAI3429849.1	XP_005852263.1
OG0003704	KAI3429818.1	XP_005851938.1
OG0003705	KAI3430865.1	XP_005844804.1
OG0003706	KAI3429801.1	XP_005852253.1
OG0003707	KAI3429802.1	XP_005851931.1
OG0003708	KAI3432226.1	XP_005844172.1
OG0003709	KAI3429890.1	XP_005851968.1
OG0003710	KAI3429765.1	XP_005852238.1
OG0003711	KAI3429824.1	XP_005851941.1
OG0003712	KAI3429836.1	XP_005851951.1
OG0003713	KAI3429835.1	XP_005852260.1
OG0003714	KAI3429630.1	XP_005852158.1
OG0003715	KAI3429638.1	XP_005852186.1
OG0003716	KAI3429680.1	XP_005851876.1
OG0003717	KAI3429606.1, KAI3429605.1	XP_005852166.1
OG0003718	KAI3429600.1	XP_005852168.1
OG0003719	KAI3429619.1	XP_005852161.1
OG0003720	KAI3429615.1	XP_005851834.1
OG0003721	KAI3429613.1	XP_005851836.1
OG0003722	KAI3429657.1	XP_005851867.1
OG0003723	KAI3429662.1	XP_005852205.1
OG0003725	KAI3429669.1	XP_005851872.1
OG0003726	KAI3429699.1	XP_005851884.1
OG0003727	KAI3429658.1	XP_005852200.1
OG0003728	KAI3429721.1	XP_005851895.1
OG0003729	KAI3429726.1, KAI3429727.1	XP_005852226.1
OG0003730	KAI3429724.1	XP_005851893.1
OG0003731	KAI3429723.1	XP_005852228.1
OG0003732	KAI3429570.1	XP_005851821.1
OG0003733	KAI3429713.1	XP_005852224.1
OG0003734	KAI3429660.1	XP_005851869.1
OG0003735	KAI3429675.1	XP_005851874.1
OG0003736	KAI3429705.1	XP_005852221.1
OG0003737	KAI3429702.1	XP_005852219.1
OG0003738	KAI3429735.1	XP_005851899.1
OG0003739	KAI3429736.1	XP_005852231.1
OG0003740	KAI3429707.1	XP_005851887.1
OG0003741	KAI3429741.1	XP_005851902.1
OG0003742	KAI3429740.1	XP_005852233.1
OG0003743	KAI3429730.1	XP_005842718.1
OG0003744	KAI3432690.1	XP_005843525.1
OG0003745	KAI3429738.1	XP_005852230.1
OG0003746	KAI3429565.1	XP_005851818.1
OG0003747	KAI3429564.1	XP_005852150.1
OG0003748	KAI3429578.1	XP_005852180.1
OG0003749	KAI3429683.1	XP_005851878.1
OG0003750	KAI3429693.1	XP_005851883.1
OG0003751	KAI3429711.1	XP_005852223.1
OG0003752	KAI3437875.1	XP_005848052.1
OG0003753	KAI3434492.1	XP_005843939.1
OG0003754	KAI3434493.1	XP_005843858.1
OG0003755	KAI3434466.1	XP_005843898.1
OG0003756	KAI3434495.1	XP_005843940.1
OG0003757	KAI3434559.1	XP_005843892.1
OG0003758	KAI3424057.1	XP_005845688.1
OG0003759	KAI3424300.1	XP_005843681.1
OG0003760	KAI3436367.1	XP_005843011.1
OG0003761	KAI3433635.1	XP_005851485.1
OG0003762	KAI3434530.1	XP_005843888.1
OG0003763	KAI3438928.1	XP_005849704.1
OG0003764	KAI3431799.1	XP_005843297.1
OG0003765	KAI3434498.1	XP_005843941.1
OG0003766	KAI3427269.1	XP_005848592.1
OG0003767	KAI3434486.1	XP_005843937.1
OG0003768	KAI3433812.1	XP_005851109.1
OG0003769	KAI3424331.1	XP_005843725.1
OG0003770	KAI3434377.1	XP_005842901.1
OG0003771	KAI3434395.1	XP_005842908.1
OG0003772	KAI3431759.1	XP_005844927.1
OG0003773	KAI3434502.1	XP_005843874.1
OG0003774	KAI3434454.1	XP_005843908.1
OG0003775	KAI3434443.1	XP_005843910.1
OG0003776	KAI3423916.1	XP_005842877.1
OG0003777	KAI3438078.1	XP_005847137.1
OG0003778	KAI3434433.1	XP_005843975.1
OG0003779	KAI3430748.1	XP_005844660.1
OG0003780	KAI3434432.1	XP_005843912.1
OG0003781	KAI3430464.1	XP_005843404.1
OG0003782	KAI3434535.1	XP_005843873.1
OG0003784	KAI3430220.1	XP_005844647.1
OG0003785	KAI3426201.1	XP_005848436.1
OG0003786	KAI3424746.1	XP_005845157.1
OG0003787	KAI3426441.1	XP_005848359.1
OG0003788	KAI3426440.1	XP_005848552.1
OG0003789	KAI3426437.1	XP_005848357.1
OG0003790	KAI3426436.1	XP_005848550.1
OG0003791	KAI3428676.1	XP_005847405.1
OG0003792	KAI3426454.1	XP_005848558.1
OG0003793	KAI3426455.1	XP_005848363.1
OG0003794	KAI3426191.1	XP_005848431.1
OG0003795	KAI3426192.1	XP_005848238.1
OG0003796	KAI3426150.1	XP_005848411.1
OG0003797	KAI3426151.1	XP_005848412.1
OG0003799	KAI3426438.1	XP_005848551.1
OG0003800	KAI3426157.1	XP_005848415.1
OG0003801	KAI3426163.1	XP_005848226.1
OG0003802	KAI3426401.1	XP_005848531.1
OG0003803	KAI3438165.1	XP_005847092.1
OG0003804	KAI3430463.1	XP_005843405.1
OG0003805	KAI3428680.1	XP_005847257.1
OG0003806	KAI3426133.1	XP_005848214.1
OG0003807	KAI3436202.1	XP_005845420.1
OG0003808	KAI3426111.1	XP_005848394.1
OG0003809	KAI3426398.1	XP_005848530.1
OG0003810	KAI3426123.1	XP_005848402.1
OG0003811	KAI3438174.1	XP_005846904.1
OG0003813	KAI3426108.1	XP_005848392.1
OG0003814	KAI3426138.1	XP_005848408.1
OG0003815	KAI3437757.1	XP_005848111.1
OG0003816	KAI3428648.1	XP_005847271.1
OG0003817	KAI3426155.1	XP_005848220.1
OG0003818	KAI3426154.1	XP_005848414.1
OG0003819	KAI3426212.1	XP_005848443.1
OG0003820	KAI3426205.1	XP_005848439.1
OG0003821	KAI3426202.1	XP_005848437.1
OG0003822	KAI3438076.1	XP_005847138.1
OG0003823	KAI3426196.1	XP_005848434.1
OG0003824	KAI3426198.1	XP_005848241.1
OG0003825	KAI3426189.1	XP_005848236.1
OG0003826	KAI3426461.1	XP_005848561.1
OG0003827	KAI3432588.1	XP_005843578.1
OG0003828	KAI3426341.1	XP_005848504.1
OG0003829	KAI3426339.1	XP_005848503.1
OG0003830	KAI3426360.1	XP_005848514.1
OG0003831	KAI3426337.1	XP_005848313.1
OG0003832	KAI3428842.1	XP_005850200.1
OG0003833	KAI3426354.1	XP_005848321.1
OG0003834	KAI3426357.1	XP_005848322.1
OG0003835	KAI3426356.1	XP_005848512.1
OG0003836	KAI3426351.1, KAI3426352.1	XP_005848510.1
OG0003837	KAI3426363.1	XP_005848517.1
OG0003838	KAI3426364.1	XP_005848324.1
OG0003839	KAI3426343.1	XP_005848506.1
OG0003840	KAI3426346.1	XP_005848508.1
OG0003841	KAI3426347.1	XP_005848319.1
OG0003842	KAI3426366.1	XP_005848519.1
OG0003843	KAI3426365.1	XP_005848327.1
OG0003844	KAI3426000.1	XP_005847684.1
OG0003845	KAI3428099.1	XP_005850318.1
OG0003846	KAI3426382.1	XP_005848526.1
OG0003847	KAI3426397.1	XP_005848343.1
OG0003848	KAI3426385.1	XP_005848337.1
OG0003849	KAI3426413.1	XP_005848538.1
OG0003850	KAI3426387.1	XP_005848338.1
OG0003851	KAI3426996.1	XP_005848938.1
OG0003852	KAI3426392.1	XP_005848341.1
OG0003853	KAI3426393.1	XP_005848528.1
OG0003854	KAI3426394.1	XP_005848342.1
OG0003855	KAI3426379.1	XP_005848525.1
OG0003856	KAI3426407.1	XP_005848534.1
OG0003858	KAI3426451.1	XP_005848362.1
OG0003859	KAI3426178.1	XP_005848422.1
OG0003860	KAI3426179.1	XP_005848231.1
OG0003861	KAI3426446.1	XP_005848555.1
OG0003862	KAI3426174.1	XP_005848229.1
OG0003863	KAI3426177.1	XP_005848230.1
OG0003864	KAI3426176.1	XP_005848421.1
OG0003865	KAI3426167.1	XP_005848228.1
OG0003866	KAI3426426.1	XP_005848545.1
OG0003867	KAI3426424.1	XP_005848544.1
OG0003868	KAI3426416.1	XP_005848352.1
OG0003869	KAI3426432.1	XP_005848547.1
OG0003870	KAI3426433.1	XP_005848356.1
OG0003871	KAI3430396.1	XP_005844479.1
OG0003872	KAI3430881.1	XP_005844812.1
OG0003873	KAI3430880.1	XP_005844811.1
OG0003874	KAI3426311.1	XP_005848492.1
OG0003875	KAI3430987.1	XP_005842918.1
OG0003876	KAI3428700.1	XP_005847244.1
OG0003877	KAI3430672.1	XP_005844037.1
OG0003878	KAI3430671.1	XP_005844124.1
OG0003879	KAI3430668.1	XP_005844123.1
OG0003880	KAI3430822.1	XP_005844778.1
OG0003881	KAI3430801.1	XP_005844769.1
OG0003882	KAI3430837.1	XP_005844711.1
OG0003885	KAI3439092.1	XP_005844387.1
OG0003886	KAI3439088.1	XP_005843456.1
OG0003887	KAI3439030.1, KAI3439029.1	XP_005843834.1
OG0003888	KAI3439036.1	XP_005843837.1
OG0003889	KAI3439048.1	XP_005843841.1
OG0003890	KAI3439049.1	XP_005843798.1
OG0003891	KAI3439051.1	XP_005843842.1
OG0003892	KAI3439054.1	XP_005845740.1
OG0003893	KAI3428215.1	XP_005850123.1
OG0003894	KAI3439041.1	XP_005843795.1
OG0003895	KAI3439055.1	XP_005845852.1
OG0003896	KAI3429793.1	XP_005852249.1
OG0003897	KAI3438942.1	XP_005849972.1
OG0003898	KAI3438948.1	XP_005843749.1
OG0003900	KAI3439129.1	XP_005843475.1
OG0003901	KAI3439127.1	XP_005843473.1
OG0003902	KAI3438949.1	XP_005843806.1
OG0003903	KAI3439126.1	XP_005843444.1
OG0003905	KAI3430791.1	XP_005844685.1
OG0003906	KAI3430792.1	XP_005844760.1
OG0003907	KAI3430780.1	XP_005844687.1
OG0003908	KAI3424144.1	XP_005845654.1
OG0003909	KAI3438604.1	XP_005849540.1
OG0003910	KAI3438605.1	XP_005849804.1
OG0003911	KAI3438551.1	XP_005849787.1
OG0003912	KAI3438552.1	XP_005849788.1
OG0003913	KAI3438553.1	XP_005849526.1
OG0003914	KAI3432816.1	XP_005844305.1
OG0003915	KAI3438444.1	XP_005849475.1
OG0003916	KAI3438443.1	XP_005849743.1
OG0003917	KAI3438452.1	XP_005849749.1
OG0003918	KAI3438465.1	XP_005849484.1
OG0003919	KAI3438404.1	XP_005849455.1
OG0003920	KAI3438403.1	XP_005849724.1
OG0003921	KAI3428662.1	XP_005847413.1
OG0003922	KAI3438494.1	XP_005849762.1
OG0003923	KAI3438474.1	XP_005849756.1
OG0003924	KAI3438475.1	XP_005849487.1
OG0003925	KAI3438500.1	XP_005849496.1
OG0003926	KAI3438503.1	XP_005849767.1
OG0003927	KAI3438396.1	XP_005849448.1
OG0003928	KAI3438402.1	XP_005849453.1
OG0003929	KAI3438496.1	XP_005849494.1
OG0003930	KAI3438487.1	XP_005849758.1
OG0003931	KAI3438488.1	XP_005849759.1
OG0003932	KAI3438492.1	XP_005849492.1
OG0003933	KAI3425158.1	XP_005845918.1, XP_005851942.1
OG0003934	KAI3438460.1	XP_005849482.1
OG0003935	KAI3438458.1	XP_005849750.1
OG0003936	KAI3438562.1	XP_005849529.1
OG0003937	KAI3438556.1	XP_005849790.1
OG0003938	KAI3438557.1	XP_005849791.1
OG0003939	KAI3438561.1	XP_005849793.1
OG0003940	KAI3438565.1	XP_005849530.1
OG0003941	KAI3438580.1	XP_005849536.1
OG0003942	KAI3437925.1, KAI3437926.1	XP_005847868.1
OG0003943	KAI3438427.1	XP_005849736.1
OG0003944	KAI3438429.1	XP_005849737.1
OG0003945	KAI3438430.1	XP_005849467.1
OG0003946	KAI3424821.1	XP_005845189.1
OG0003947	KAI3438426.1	XP_005849465.1
OG0003948	KAI3438423.1	XP_005849463.1
OG0003949	KAI3438416.1	XP_005849460.1
OG0003950	KAI3438419.1	XP_005849461.1
OG0003951	KAI3438411.1	XP_005849457.1
OG0003952	KAI3438410.1	XP_005849728.1
OG0003953	KAI3438421.1	XP_005849462.1
OG0003954	KAI3438412.1	XP_005849729.1
OG0003955	KAI3438567.1	XP_005849795.1
OG0003956	KAI3424826.1	XP_005845191.1
OG0003957	KAI3435699.1	XP_005846358.1
OG0003958	KAI3438571.1	XP_005849797.1
OG0003959	KAI3424185.1	XP_005845532.1
OG0003960	KAI3432615.1	XP_005843592.1
OG0003961	KAI3428179.1	XP_005850108.1
OG0003962	KAI3431506.1	XP_005846198.1
OG0003963	KAI3438433.1	XP_005849469.1
OG0003964	KAI3438434.1	XP_005849470.1
OG0003965	KAI3438437.1	XP_005849471.1
OG0003966	KAI3438384.1	XP_005849442.1
OG0003967	KAI3438555.1	XP_005849527.1
OG0003968	KAI3438554.1	XP_005849789.1
OG0003969	KAI3438385.1	XP_005849717.1
OG0003970	KAI3438541.1	XP_005849520.1
OG0003971	KAI3438544.1	XP_005849784.1
OG0003972	KAI3424896.1	XP_005843454.1, XP_005845225.1
OG0003973	KAI3438389.1	XP_005849720.1
OG0003974	KAI3438390.1	XP_005849445.1
OG0003975	KAI3438506.1	XP_005849500.1
OG0003976	KAI3438519.1	XP_005849507.1
OG0003977	KAI3438522.1	XP_005849777.1
OG0003978	KAI3438516.1	XP_005849505.1
OG0003979	KAI3438508.1	XP_005849501.1
OG0003980	KAI3438439.1	XP_005849472.1
OG0003981	KAI3424449.1	XP_005843144.1
OG0003983	KAI3438432.1	XP_005849468.1
OG0003984	KAI3438525.1	XP_005849778.1
OG0003986	KAI3438341.1	XP_005847013.1
OG0003987	KAI3438340.1	XP_005852243.1
OG0003988	KAI3438380.1	XP_005849441.1
OG0003989	KAI3436417.1	XP_005850758.1
OG0003990	KAI3438531.1	XP_005849515.1
OG0003991	KAI3438528.1	XP_005849513.1
OG0003992	KAI3438372.1	XP_005849710.1
OG0003993	KAI3425200.1	XP_005845786.1
OG0003994	KAI3428643.1	XP_005847272.1
OG0003995	KAI3428642.1	XP_005847420.1
OG0003996	KAI3425100.1	XP_005846761.1
OG0003997	KAI3438232.1	XP_005847059.1
OG0003999	KAI3438263.1	XP_005847043.1
OG0004000	KAI3438260.1	XP_005847045.1
OG0004001	KAI3438249.1	XP_005846874.1
OG0004002	KAI3438259.1	XP_005846870.1
OG0004003	KAI3438247.1	XP_005849959.1
OG0004004	KAI3438243.1	XP_005846876.1
OG0004005	KAI3428621.1	XP_005847278.1
OG0004006	KAI3428623.1	XP_005847277.1
OG0004007	KAI3428625.1	XP_005847427.1
OG0004008	KAI3438238.1	XP_005846878.1
OG0004009	KAI3428461.1	XP_005847504.1
OG0004010	KAI3428617.1	XP_005847448.1
OG0004011	KAI3430745.1	XP_005844748.1
OG0004012	KAI3428607.1	XP_005847442.1
OG0004013	KAI3427183.1	XP_005848845.1
OG0004014	KAI3428601.1	XP_005847285.1
OG0004015	KAI3428593.1	XP_005847282.1
OG0004016	KAI3428503.1	XP_005847321.1
OG0004017	KAI3428504.1	XP_005847487.1
OG0004018	KAI3428509.1	XP_005847319.1
OG0004019	KAI3428457.1	XP_005847508.1
OG0004020	KAI3428481.1	XP_005847330.1
OG0004021	KAI3428498.1	XP_005847488.1
OG0004022	KAI3428497.1	XP_005847325.1
OG0004023	KAI3428452.1	XP_005847338.1
OG0004024	KAI3434741.1	XP_005849361.1
OG0004025	KAI3428575.1	XP_005847428.1
OG0004026	KAI3428542.1	XP_005847301.1
OG0004027	KAI3428236.1	XP_005850134.1
OG0004028	KAI3428435.1	XP_005847346.1
OG0004029	KAI3428438.1	XP_005847345.1
OG0004030	KAI3428443.1	XP_005847518.1
OG0004031	KAI3432625.1	XP_005843563.1
OG0004032	KAI3428440.1	XP_005847344.1
OG0004034	KAI3428420.1	XP_005847527.1
OG0004035	KAI3428425.1	XP_005847525.1
OG0004036	KAI3428491.1	XP_005847327.1
OG0004037	KAI3428492.1	XP_005847492.1
OG0004038	KAI3428477.1	XP_005847496.1
OG0004039	KAI3428565.1	XP_005847453.1
OG0004041	KAI3428613.1	XP_005847446.1
OG0004042	KAI3438265.1	XP_005846869.1
OG0004043	KAI3428619.1	XP_005847279.1
OG0004044	KAI3430806.1	XP_005844693.1
OG0004045	KAI3424817.1	XP_005845188.1
OG0004046	KAI3428581.1	XP_005847431.1
OG0004047	KAI3426106.1	XP_005848199.1
OG0004048	KAI3428444.1	XP_005847343.1
OG0004049	KAI3428445.1	XP_005847517.1
OG0004050	KAI3428562.1	XP_005842627.1
OG0004051	KAI3426975.1	XP_005848942.1
OG0004052	KAI3428822.1	XP_005850204.1
OG0004053	KAI3438171.1	XP_005846906.1
OG0004054	KAI3431557.1	XP_005844921.1
OG0004055	KAI3428556.1	XP_005847461.1
OG0004056	KAI3428555.1	XP_005847464.1
OG0004057	KAI3428535.1	XP_005847473.1
OG0004058	KAI3428540.1	XP_005847470.1
OG0004059	KAI3428528.1, KAI3428529.1	XP_005847307.1
OG0004060	KAI3429468.1	XP_005851765.1
OG0004062	KAI3428518.1	XP_005847314.1
OG0004063	KAI3428516.1	XP_005847315.1
OG0004064	KAI3428517.1	XP_005847480.1
OG0004065	KAI3428594.1	XP_005847435.1
OG0004067	KAI3428658.1	XP_005847266.1
OG0004068	KAI3428433.1	XP_005847522.1
OG0004069	KAI3439021.1	XP_005843830.1
OG0004070	KAI3439022.1	XP_005843785.1
OG0004072	KAI3439095.1	XP_005843460.1
OG0004073	KAI3439086.1	XP_005843428.1
OG0004074	KAI3439046.1	XP_005843840.1
OG0004075	KAI3436320.1	XP_005843000.1
OG0004076	KAI3423891.1	XP_005846717.1
OG0004077	KAI3428656.1	XP_005847416.1
OG0004079	KAI3428285.1	XP_005850404.1
OG0004080	KAI3424722.1	XP_005845143.1
OG0004081	KAI3434464.1	XP_005843965.1
OG0004082	KAI3434478.1	XP_005843964.1
OG0004083	KAI3434463.1	XP_005843902.1
OG0004084	KAI3438190.1	XP_005846899.1
OG0004085	KAI3426207.1	XP_005848440.1
OG0004086	KAI3431517.1	XP_005843932.1
OG0004087	KAI3434537.1	XP_005843846.1
OG0004089	KAI3436603.1	XP_005851088.1
OG0004090	KAI3431625.1	XP_005844985.1
OG0004091	KAI3431596.1	XP_005844899.1
OG0004092	KAI3431580.1	XP_005844909.1
OG0004093	KAI3431620.1	XP_005844995.1
OG0004094	KAI3431572.1	XP_005844914.1
OG0004095	KAI3431573.1	XP_005845011.1
OG0004096	KAI3433940.1	XP_005851079.1
OG0004097	KAI3433870.1	XP_005851095.1
OG0004098	KAI3433954.1	XP_005851381.1
OG0004099	KAI3433938.1	XP_005851078.1
OG0004100	KAI3433945.1	XP_005851378.1
OG0004101	KAI3433956.1	XP_005851087.1
OG0004102	KAI3433949.1	XP_005851082.1
OG0004103	KAI3433948.1	XP_005851379.1
OG0004104	KAI3438253.1	XP_005846872.1
OG0004105	KAI3423709.1	XP_005851352.1
OG0004106	KAI3423710.1	XP_005851058.1
OG0004108	KAI3433923.1	XP_005851071.1
OG0004109	KAI3433962.1	XP_005851354.1
OG0004110	KAI3433964.1	XP_005851353.1
OG0004111	KAI3433931.1	XP_005851074.1
OG0004112	KAI3433828.1	XP_005851402.1
OG0004113	KAI3433827.1	XP_005851107.1
OG0004114	KAI3433830.1	XP_005851401.1
OG0004115	KAI3433836.1	XP_005851104.1
OG0004116	KAI3433744.1	XP_005851141.1
OG0004117	KAI3433745.1	XP_005851432.1
OG0004118	KAI3433772.1	XP_005851422.1
OG0004119	KAI3428668.1	XP_005847409.1
OG0004120	KAI3433767.1, KAI3433766.1	XP_005851128.1
OG0004121	KAI3433765.1, KAI3433771.1	XP_005851125.1
OG0004122	KAI3433760.1	XP_005851130.1
OG0004123	KAI3433758.1	XP_005851134.1
OG0004124	KAI3433898.1	XP_005851359.1
OG0004125	KAI3433900.1	XP_005851064.1
OG0004126	KAI3433813.1	XP_005851108.1
OG0004127	KAI3433814.1	XP_005851387.1
OG0004128	KAI3433803.1	XP_005851412.1
OG0004129	KAI3433798.1	XP_005851415.1
OG0004130	KAI3433795.1	XP_005851116.1
OG0004131	KAI3433794.1	XP_005851416.1
OG0004132	KAI3433792.1	XP_005851417.1
OG0004133	KAI3433748.1	XP_005851139.1
OG0004134	KAI3433747.1	XP_005851431.1
OG0004135	KAI3433902.1	XP_005851360.1
OG0004136	KAI3433904.1	XP_005851361.1
OG0004137	KAI3433892.1	XP_005851061.1
OG0004138	KAI3433891.1	XP_005851356.1
OG0004139	KAI3432858.1	XP_005844420.1
OG0004140	KAI3428787.1	XP_005850221.1
OG0004141	KAI3429470.1, KAI3429469.1	XP_005851766.1
OG0004142	KAI3428194.1	XP_005846739.1
OG0004143	KAI3433888.1	XP_005851059.1
OG0004144	KAI3433877.1	XP_005851093.1
OG0004145	KAI3433878.1	XP_005851385.1
OG0004146	KAI3432801.1	XP_005844398.1
OG0004147	KAI3433855.1	XP_005851393.1
OG0004148	KAI3436712.1	XP_005850911.1
OG0004149	KAI3433742.1	XP_005851434.1
OG0004150	KAI3433741.1	XP_005851142.1
OG0004151	KAI3433740.1	XP_005851143.1
OG0004152	KAI3433739.1	XP_005851435.1
OG0004153	KAI3432818.1	XP_005844351.1
OG0004154	KAI3433736.1	XP_005851144.1
OG0004155	KAI3433712.1	XP_005851444.1
OG0004156	KAI3433711.1	XP_005851160.1
OG0004157	KAI3433726.1	XP_005851439.1
OG0004158	KAI3433725.1	XP_005851151.1
OG0004159	KAI3433717.1	XP_005851157.1
OG0004160	KAI3433723.1	XP_005851440.1
OG0004161	KAI3433734.1	XP_005851145.1
OG0004162	KAI3433691.1	XP_005851167.1
OG0004163	KAI3433690.1	XP_005851453.1
OG0004164	KAI3433687.1	XP_005851169.1
OG0004165	KAI3433666.1	XP_005851464.1
OG0004166	KAI3433665.1	XP_005851180.1
OG0004167	KAI3433660.1	XP_005851181.1
OG0004168	KAI3433658.1	XP_005851182.1
OG0004169	KAI3433654.1	XP_005851471.1
OG0004170	KAI3433655.1	XP_005851183.1
OG0004171	KAI3433656.1	XP_005851470.1
OG0004172	KAI3428263.1	XP_005850393.1
OG0004173	KAI3428264.1	XP_005850145.1
OG0004174	KAI3433651.1	XP_005851185.1
OG0004175	KAI3433652.1	XP_005851473.1
OG0004176	KAI3432462.1	XP_005843585.1
OG0004177	KAI3432674.1	XP_005843540.1, XP_005843541.1
OG0004178	KAI3433648.1	XP_005851186.1
OG0004179	KAI3424793.1	XP_005845175.1
OG0004180	KAI3425830.1	XP_005847600.1
OG0004181	KAI3433642.1	XP_005851189.1
OG0004182	KAI3433641.1	XP_005851482.1
OG0004183	KAI3433640.1	XP_005851190.1
OG0004184	KAI3433643.1	XP_005851188.1
OG0004185	KAI3433606.1	XP_005851500.1
OG0004186	KAI3433609.1	XP_005851499.1
OG0004187	KAI3433616.1	XP_005851201.1
OG0004188	KAI3433619.1	XP_005851200.1
OG0004189	KAI3433621.1	XP_005851493.1
OG0004190	KAI3433628.1	XP_005851489.1
OG0004191	KAI3433633.1	XP_005851487.1
OG0004192	KAI3433632.1	XP_005851195.1
OG0004193	KAI3433637.1	XP_005851192.1
OG0004194	KAI3433599.1	XP_005851504.1
OG0004195	KAI3433586.1	XP_005851215.1
OG0004196	KAI3433593.1	XP_005852191.1, XP_005851505.1
OG0004197	KAI3433581.1	XP_005851218.1
OG0004198	KAI3433583.1	XP_005851217.1
OG0004200	KAI3433575.1	XP_005851512.1
OG0004202	KAI3433572.1	XP_005851225.1
OG0004203	KAI3435683.1	XP_005846536.1
OG0004204	KAI3424905.1	XP_005845229.1
OG0004205	KAI3433560.1	XP_005851521.1
