Orthogroup	oneline_c_vulgaris_genome_proteins	oneline_A99_genome_proteins
OG0002629	KAI3438710.1	scaffold5.g923.t1
OG0002630	KAI3438625.1	scaffold5.g930.t1
OG0002631	KAI3438700.1	scaffold5.g932.t1
OG0002632	KAI3438648.1	scaffold5.g937.t1
OG0002633	KAI3438951.1	scaffold5.g938.t1
OG0002634	KAI3438650.1	scaffold5.g939.t1
OG0002635	KAI3438653.1	scaffold5.g943.t1
OG0002636	KAI3438630.1	scaffold5.g944.t1
OG0002637	KAI3438631.1	scaffold5.g945.t1
OG0002638	KAI3438641.1	scaffold5.g948.t1
OG0002639	KAI3438644.1	scaffold5.g951.t1
OG0002640	KAI3438643.1	scaffold5.g952.t1
OG0002641	KAI3438637.1	scaffold5.g953.t1
OG0002642	KAI3438639.1	scaffold5.g956.t1
OG0002643	KAI3438640.1	scaffold5.g957.t1
OG0002644	KAI3438742.1	scaffold5.g959.t1
OG0002645	KAI3438614.1	scaffold5.g967.t1
OG0002646	KAI3438657.1, KAI3438656.1	scaffold5.g968.t1
OG0002647	KAI3438613.1	scaffold5.g971.t1
OG0002648	KAI3438609.1	scaffold5.g975.t1
OG0002649	KAI3438608.1	scaffold5.g978.t1
OG0002650	KAI3438603.1	scaffold5.g980.t1
OG0002651	KAI3438606.1	scaffold5.g983.t1
OG0002652	KAI3429575.1	scaffold5.g988.t1
OG0002653	KAI3437593.1	scaffold5.g989.t1
OG0002654	KAI3438601.1	scaffold5.g991.t1
OG0002655	KAI3438602.1	scaffold5.g997.t1
OG0002656	KAI3438738.1	scaffold5.g1011.t1
OG0002657	KAI3438564.1	scaffold5.g1012.t1
OG0002659	KAI3438587.1	scaffold5.g1015.t1
OG0002660	KAI3426887.1	scaffold14.g1016.t1
OG0002661	KAI3428129.1	scaffold14.g1020.t1
OG0002662	KAI3426883.1	scaffold14.g1021.t1
OG0002663	KAI3426884.1	scaffold14.g1026.t1
OG0002664	KAI3425955.1	scaffold14.g1031.t1
OG0002665	KAI3426841.1	scaffold14.g1033.t1
OG0002666	KAI3426863.1	scaffold14.g1037.t1
OG0002667	KAI3426865.1, KAI3427190.1	scaffold14.g1039.t1
OG0002668	KAI3426864.1	scaffold14.g1040.t1
OG0002669	KAI3426893.1	scaffold14.g1044.t1
OG0002670	KAI3426901.1	scaffold14.g1046.t1
OG0002671	KAI3438285.1	scaffold14.g1047.t1
OG0002672	KAI3426856.1	scaffold14.g1054.t1
OG0002673	KAI3426855.1, KAI3426854.1	scaffold14.g1058.t1
OG0002674	KAI3426843.1	scaffold14.g1059.t1
OG0002675	KAI3426897.1	scaffold14.g1060.t1
OG0002676	KAI3426918.1	scaffold14.g1064.t1
OG0002677	KAI3426906.1	scaffold14.g1065.t1
OG0002678	KAI3426907.1	scaffold14.g1066.t1
OG0002679	KAI3426852.1	scaffold14.g1068.t1
OG0002680	KAI3426851.1	scaffold14.g1069.t1
OG0002681	KAI3426911.1	scaffold14.g1076.t1
OG0002682	KAI3426939.1	scaffold14.g1086.t1
OG0002683	KAI3426940.1	scaffold14.g1087.t1
OG0002684	KAI3426946.1	scaffold14.g1088.t1
OG0002685	KAI3426947.1	scaffold14.g1089.t1
OG0002687	KAI3426949.1	scaffold14.g1094.t1
OG0002688	KAI3426945.1	scaffold14.g1095.t1
OG0002689	KAI3426936.1	scaffold14.g1101.t1
OG0002690	KAI3426938.1	scaffold14.g1102.t1
OG0002691	KAI3426942.1	scaffold14.g1103.t1
OG0002692	KAI3426955.1	scaffold14.g1106.t1
OG0002693	KAI3426954.1	scaffold14.g1107.t1
OG0002694	KAI3430844.1	scaffold14.g1111.t1
OG0002695	KAI3427036.1	scaffold14.g1113.t1
OG0002696	KAI3438310.1	scaffold14.g1115.t1
OG0002697	KAI3427039.1	scaffold14.g1117.t1
OG0002698	KAI3434790.1	scaffold14.g1120.t1
OG0002699	KAI3427029.1	scaffold14.g1125.t1
OG0002700	KAI3427030.1	scaffold14.g1126.t1
OG0002701	KAI3427032.1	scaffold14.g1128.t1
OG0002702	KAI3427026.1	scaffold14.g1130.t1
OG0002703	KAI3427025.1	scaffold14.g1131.t1
OG0002705	KAI3432222.1	scaffold14.g1138.t1
OG0002706	KAI3428465.1	scaffold14.g1140.t1
OG0002707	KAI3428681.1	scaffold14.g1142.t1
OG0002708	KAI3427023.1	scaffold14.g1144.t1
OG0002709	KAI3427014.1	scaffold14.g1149.t1
OG0002710	KAI3427010.1	scaffold14.g1157.t1
OG0002711	KAI3427012.1	scaffold14.g1159.t1
OG0002712	KAI3426984.1	scaffold14.g1161.t1
OG0002713	KAI3426993.1	scaffold14.g1165.t1
OG0002714	KAI3426972.1	scaffold14.g1169.t1
OG0002715	KAI3426968.1	scaffold14.g1171.t1
OG0002716	KAI3426973.1	scaffold14.g1176.t1
OG0002717	KAI3426965.1	scaffold14.g1181.t1
OG0002718	KAI3426974.1	scaffold14.g1185.t1
OG0002719	KAI3427129.1	scaffold14.g1188.t1
OG0002720	KAI3427130.1	scaffold14.g1191.t1
OG0002721	KAI3424236.1	scaffold14.g1194.t1
OG0002722	KAI3427126.1	scaffold14.g1195.t1
OG0002723	KAI3427089.1	scaffold14.g1197.t1
OG0002724	KAI3426961.1	scaffold14.g1201.t1
OG0002725	KAI3427082.1	scaffold14.g1207.t1
OG0002726	KAI3438280.1	scaffold14.g1208.t1
OG0002727	KAI3427103.1	scaffold14.g1216.t1
OG0002728	KAI3427104.1	scaffold14.g1220.t1
OG0002729	KAI3438320.1	scaffold14.g1225.t1
OG0002730	KAI3427087.1	scaffold14.g1228.t1
OG0002731	KAI3437915.1	scaffold14.g1231.t1
OG0002732	KAI3427131.1	scaffold14.g1235.t1
OG0002733	KAI3424965.1	scaffold14.g1236.t1
OG0002734	KAI3427098.1	scaffold14.g1238.t1
OG0002735	KAI3427099.1	scaffold14.g1239.t1
OG0002736	KAI3427101.1	scaffold14.g1240.t1
OG0002737	KAI3427102.1	scaffold14.g1241.t1
OG0002738	KAI3427247.1	scaffold14.g1305.t1, scaffold14.g1259.t1, scaffold14.g1246.t1
OG0002739	KAI3427041.1	scaffold14.g1253.t1
OG0002740	KAI3428666.1	scaffold14.g1256.t1
OG0002741	KAI3428686.1	scaffold14.g1257.t1
OG0002742	KAI3427066.1	scaffold14.g1261.t1
OG0002743	KAI3424731.1	scaffold14.g1262.t1
OG0002744	KAI3438309.1	scaffold14.g1264.t1
OG0002745	KAI3427054.1, KAI3427055.1	scaffold14.g1265.t1
OG0002747	KAI3427165.1	scaffold14.g1276.t1
OG0002748	KAI3427172.1	scaffold14.g1280.t1
OG0002749	KAI3427171.1	scaffold14.g1281.t1
OG0002750	KAI3427181.1	scaffold14.g1290.t1
OG0002751	KAI3429617.1	scaffold14.g1297.t1
OG0002752	KAI3424814.1	scaffold14.g1307.t1
OG0002753	KAI3436761.1	scaffold8.g1441.t1, scaffold14.g1308.t1
OG0002754	KAI3434527.1	scaffold14.g1313.t1
OG0002755	KAI3427170.1	scaffold14.g1319.t1
OG0002756	KAI3427175.1	scaffold14.g1321.t1
OG0002757	KAI3427383.1, KAI3427384.1	scaffold14.g1324.t1
OG0002758	KAI3427273.1	scaffold14.g1326.t1
OG0002759	KAI3427275.1	scaffold14.g1333.t1
OG0002760	KAI3438077.1	scaffold14.g1338.t1
OG0002761	KAI3427174.1	scaffold14.g1340.t1
OG0002762	KAI3427239.1	scaffold14.g1343.t1
OG0002763	KAI3427254.1	scaffold14.g1350.t1
OG0002764	KAI3427257.1, KAI3427258.1	scaffold14.g1351.t1
OG0002765	KAI3436798.1	scaffold8.g1355.t1
OG0002766	KAI3436802.1	scaffold8.g1358.t1
OG0002767	KAI3436809.1	scaffold8.g1360.t1
OG0002768	KAI3436808.1	scaffold8.g1361.t1
OG0002769	KAI3436806.1	scaffold8.g1363.t1
OG0002770	KAI3436811.1	scaffold8.g1367.t1
OG0002771	KAI3436816.1	scaffold8.g1368.t1
OG0002772	KAI3436822.1	scaffold8.g1372.t1
OG0002773	KAI3436823.1	scaffold8.g1373.t1
OG0002774	KAI3436824.1	scaffold8.g1374.t1
OG0002775	KAI3436862.1	scaffold8.g1376.t1
OG0002776	KAI3436743.1	scaffold8.g1379.t1
OG0002777	KAI3436758.1	scaffold8.g1381.t1
OG0002778	KAI3436756.1	scaffold8.g1382.t1
OG0002779	KAI3436755.1	scaffold8.g1383.t1
OG0002781	KAI3436741.1	scaffold8.g1385.t1
OG0002782	KAI3436742.1	scaffold8.g1386.t1
OG0002783	KAI3436789.1	scaffold8.g1387.t1
OG0002784	KAI3436787.1	scaffold8.g1389.t1
OG0002785	KAI3436793.1	scaffold8.g1390.t1
OG0002786	KAI3436795.1	scaffold8.g1394.t1
OG0002787	KAI3436700.1	scaffold8.g1395.t1
OG0002788	KAI3432289.1	scaffold8.g1396.t1
OG0002789	KAI3436698.1	scaffold8.g1399.t1
OG0002790	KAI3436690.1	scaffold8.g1402.t1
OG0002791	KAI3436852.1	scaffold8.g1405.t1
OG0002792	KAI3436849.1	scaffold8.g1407.t1
OG0002793	KAI3436702.1	scaffold8.g1412.t1
OG0002794	KAI3436830.1	scaffold8.g1413.t1
OG0002795	KAI3436827.1	scaffold8.g1415.t1
OG0002796	KAI3436773.1	scaffold8.g1420.t1
OG0002797	KAI3436777.1	scaffold8.g1421.t1
OG0002798	KAI3436778.1	scaffold8.g1423.t1
OG0002799	KAI3436782.1	scaffold8.g1425.t1
OG0002800	KAI3436771.1	scaffold8.g1430.t1
OG0002801	KAI3436770.1	scaffold8.g1431.t1
OG0002802	KAI3436769.1	scaffold8.g1432.t1
OG0002803	KAI3436767.1	scaffold8.g1435.t1
OG0002804	KAI3436764.1	scaffold8.g1438.t1
OG0002805	KAI3436760.1	scaffold8.g1442.t1
OG0002806	KAI3436890.1	scaffold8.g1446.t1
OG0002807	KAI3436888.1	scaffold8.g1451.t1
OG0002808	KAI3436876.1	scaffold8.g1454.t1
OG0002809	KAI3436881.1	scaffold8.g1456.t1
OG0002810	KAI3436880.1	scaffold8.g1457.t1
OG0002811	KAI3436886.1	scaffold8.g1460.t1
OG0002812	KAI3436887.1	scaffold8.g1461.t1
OG0002813	KAI3436578.1	scaffold8.g1462.t1
OG0002814	KAI3436864.1	scaffold8.g1465.t1
OG0002815	KAI3436863.1	scaffold8.g1466.t1
OG0002816	KAI3436601.1	scaffold8.g1468.t1
OG0002817	KAI3436595.1	scaffold8.g1469.t1
OG0002818	KAI3436596.1	scaffold8.g1470.t1
OG0002819	KAI3436708.1	scaffold8.g1471.t1
OG0002820	KAI3436703.1	scaffold8.g1472.t1
OG0002821	KAI3435485.1	scaffold8.g1474.t1
OG0002822	KAI3435489.1	scaffold8.g1477.t1
OG0002823	KAI3435491.1	scaffold8.g1479.t1
OG0002824	KAI3435492.1	scaffold8.g1480.t1
OG0002825	KAI3435495.1	scaffold8.g1484.t1
OG0002826	KAI3435496.1	scaffold8.g1485.t1
OG0002827	KAI3435520.1	scaffold8.g1486.t1
OG0002828	KAI3435503.1	scaffold8.g1489.t1
OG0002829	KAI3435499.1	scaffold8.g1492.t1
OG0002830	KAI3435498.1	scaffold8.g1493.t1
OG0002831	KAI3435497.1	scaffold8.g1494.t1
OG0002832	KAI3435513.1	scaffold8.g1497.t1
OG0002833	KAI3435514.1	scaffold8.g1498.t1
OG0002834	KAI3435512.1	scaffold8.g1499.t1
OG0002835	KAI3435511.1	scaffold8.g1500.t1
OG0002836	KAI3435510.1	scaffold8.g1501.t1
OG0002837	KAI3435509.1	scaffold8.g1502.t1
OG0002838	KAI3435508.1	scaffold8.g1503.t1
OG0002839	KAI3435505.1	scaffold8.g1504.t1
OG0002840	KAI3435507.1	scaffold8.g1506.t1
OG0002841	KAI3435522.1	scaffold8.g1509.t1
OG0002842	KAI3435529.1	scaffold8.g1513.t1
OG0002843	KAI3435528.1	scaffold8.g1514.t1
OG0002844	KAI3435524.1	scaffold8.g1515.t1
OG0002845	KAI3435526.1	scaffold8.g1517.t1
OG0002846	KAI3435532.1	scaffold8.g1519.t1
OG0002847	KAI3435533.1	scaffold8.g1522.t1
OG0002848	KAI3435549.1	scaffold8.g1523.t1
OG0002849	KAI3435548.1	scaffold8.g1524.t1
OG0002850	KAI3435547.1	scaffold8.g1525.t1
OG0002851	KAI3435537.1	scaffold8.g1531.t1
OG0002852	KAI3435539.1	scaffold8.g1533.t1
OG0002853	KAI3435540.1	scaffold8.g1534.t1
OG0002854	KAI3435541.1	scaffold8.g1535.t1
OG0002855	KAI3435551.1	scaffold8.g1536.t1
OG0002856	KAI3435554.1	scaffold8.g1537.t1
OG0002857	KAI3435557.1	scaffold8.g1538.t1
OG0002858	KAI3435559.1	scaffold8.g1539.t1
OG0002859	KAI3435562.1	scaffold8.g1542.t1
OG0002860	KAI3435563.1	scaffold8.g1543.t1
OG0002861	KAI3435564.1	scaffold8.g1544.t1
OG0002862	KAI3435565.1	scaffold8.g1546.t1
OG0002863	KAI3435566.1	scaffold8.g1547.t1
OG0002864	KAI3435570.1	scaffold8.g1548.t1
OG0002865	KAI3435573.1	scaffold8.g1550.t1
OG0002866	KAI3435616.1	scaffold8.g1552.t1
OG0002867	KAI3435576.1	scaffold8.g1554.t1
OG0002868	KAI3435575.1	scaffold8.g1555.t1
OG0002869	KAI3435620.1	scaffold8.g1557.t1
OG0002870	KAI3435619.1	scaffold8.g1558.t1
OG0002871	KAI3435641.1	scaffold8.g1559.t1
OG0002872	KAI3427277.1	scaffold8.g1560.t1
OG0002873	KAI3435582.1	scaffold8.g1562.t1
OG0002874	KAI3435592.1	scaffold8.g1564.t1
OG0002875	KAI3435595.1	scaffold8.g1567.t1
OG0002876	KAI3426403.1	scaffold8.g1573.t1
OG0002877	KAI3438570.1	scaffold8.g1576.t1
OG0002878	KAI3434526.1	scaffold8.g1578.t1
OG0002879	KAI3430420.1	scaffold8.g1579.t1
OG0002880	KAI3428751.1	scaffold8.g1585.t1
OG0002881	KAI3438498.1	scaffold8.g1586.t1
OG0002882	KAI3423828.1	scaffold8.g1587.t1
OG0002883	KAI3434552.1	scaffold8.g1591.t1
OG0002884	KAI3432854.1	scaffold8.g1595.t1
OG0002885	KAI3431840.1	scaffold8.g1598.t1
OG0002886	KAI3434465.1	scaffold8.g1599.t1
OG0002887	KAI3434494.1	scaffold8.g1601.t1
OG0002888	KAI3425787.1	scaffold8.g1602.t1
OG0002889	KAI3430816.1	scaffold8.g1610.t1
OG0002890	KAI3434561.1	scaffold8.g1612.t1
OG0002891	KAI3438806.1	scaffold8.g1614.t1
OG0002892	KAI3434539.1	scaffold8.g1616.t1
OG0002893	KAI3424893.1	scaffold8.g1625.t1
OG0002894	KAI3435978.1	scaffold8.g1631.t1
OG0002895	KAI3429627.1	scaffold8.g1640.t1
OG0002896	KAI3425083.1	scaffold8.g1643.t1
OG0002897	KAI3434558.1	scaffold8.g1650.t1
OG0002898	KAI3434562.1	scaffold8.g1652.t1
OG0002899	KAI3434434.1	scaffold8.g1663.t1
OG0002901	KAI3434501.1	scaffold8.g1666.t1
OG0002902	KAI3428430.1	scaffold8.g1669.t1
OG0002903	KAI3434728.1	scaffold8.g1673.t1
OG0002904	KAI3434441.1	scaffold8.g1682.t1
OG0002905	KAI3433453.1	scaffold8.g1688.t1
OG0002906	KAI3434431.1	scaffold8.g1689.t1, scaffold8.g1691.t1
OG0002907	KAI3437795.1	scaffold8.g1708.t1
OG0002908	KAI3428488.1	scaffold8.g1712.t1
OG0002909	KAI3434520.1	scaffold8.g1718.t1
OG0002910	KAI3434522.1	scaffold8.g1722.t1
OG0002911	KAI3434529.1	scaffold8.g1735.t1
OG0002912	KAI3437559.1	scaffold19.g1741.t1
OG0002913	KAI3437556.1	scaffold19.g1742.t1
OG0002914	KAI3432871.1	scaffold19.g1745.t1
OG0002915	KAI3437768.1	scaffold19.g1749.t1
OG0002916	KAI3437766.1	scaffold19.g1751.t1
OG0002917	KAI3437567.1	scaffold19.g1758.t1
OG0002918	KAI3426282.1	scaffold19.g1759.t1
OG0002919	KAI3437550.1	scaffold19.g1761.t1
OG0002920	KAI3424756.1	scaffold19.g1766.t1
OG0002921	KAI3437571.1	scaffold19.g1767.t1
OG0002922	KAI3437570.1	scaffold19.g1768.t1
OG0002923	KAI3437569.1	scaffold19.g1769.t1
OG0002924	KAI3437775.1	scaffold19.g1773.t1
OG0002925	KAI3437770.1	scaffold19.g1774.t1
OG0002926	KAI3437769.1	scaffold19.g1775.t1
OG0002927	KAI3437761.1	scaffold19.g1778.t1
OG0002928	KAI3424845.1	scaffold19.g1780.t1
OG0002929	KAI3437562.1	scaffold19.g1781.t1
OG0002930	KAI3432797.1	scaffold19.g1782.t1
OG0002931	KAI3437633.1	scaffold19.g1785.t1
OG0002932	KAI3437811.1	scaffold19.g1789.t1
OG0002933	KAI3437803.1	scaffold19.g1791.t1
OG0002934	KAI3432474.1	scaffold19.g1793.t1
OG0002935	KAI3437819.1	scaffold19.g1797.t1
OG0002936	KAI3437818.1	scaffold19.g1798.t1
OG0002937	KAI3437701.1	scaffold19.g1799.t1
OG0002938	KAI3437700.1	scaffold19.g1800.t1
OG0002939	KAI3437814.1	scaffold19.g1802.t1
OG0002940	KAI3437802.1	scaffold19.g1803.t1
OG0002941	KAI3437695.1	scaffold19.g1807.t1
OG0002942	KAI3437693.1	scaffold19.g1809.t1
OG0002943	KAI3437692.1	scaffold19.g1810.t1
OG0002944	KAI3437691.1	scaffold19.g1811.t1
OG0002945	KAI3437690.1	scaffold19.g1812.t1
OG0002946	KAI3437753.1	scaffold19.g1819.t1
OG0002947	KAI3437752.1	scaffold19.g1820.t1
OG0002949	KAI3437747.1	scaffold19.g1822.t1
OG0002950	KAI3437726.1	scaffold19.g1825.t1
OG0002951	KAI3437729.1	scaffold19.g1827.t1
OG0002952	KAI3437742.1	scaffold19.g1832.t1
OG0002953	KAI3437743.1	scaffold19.g1833.t1
OG0002954	KAI3437746.1	scaffold19.g1834.t1
OG0002955	KAI3437745.1	scaffold19.g1835.t1
OG0002956	KAI3437749.1	scaffold19.g1840.t1
OG0002957	KAI3437755.1	scaffold19.g1847.t1
OG0002958	KAI3437788.1	scaffold19.g1850.t1
OG0002959	KAI3437789.1	scaffold19.g1851.t1
OG0002960	KAI3437792.1	scaffold19.g1852.t1
OG0002961	KAI3438162.1	scaffold19.g1853.t1
OG0002962	KAI3437796.1	scaffold19.g1856.t1
OG0002963	KAI3437625.1	scaffold19.g1860.t1
OG0002964	KAI3437626.1	scaffold19.g1861.t1
OG0002965	KAI3437630.1	scaffold19.g1863.t1
OG0002966	KAI3437621.1	scaffold19.g1864.t1
OG0002967	KAI3437620.1	scaffold19.g1865.t1
OG0002968	KAI3431364.1	scaffold19.g1869.t1
OG0002969	KAI3437615.1	scaffold19.g1872.t1
OG0002970	KAI3437906.1	scaffold19.g1878.t1
OG0002971	KAI3437882.1	scaffold19.g1879.t1
OG0002972	KAI3437883.1	scaffold19.g1880.t1
OG0002973	KAI3428383.1	scaffold18.g1886.t1
OG0002974	KAI3428384.1	scaffold18.g1887.t1
OG0002975	KAI3428366.1	scaffold18.g1888.t1
OG0002976	KAI3428363.1	scaffold18.g1889.t1
OG0002977	KAI3428361.1	scaffold18.g1890.t1
OG0002978	KAI3430539.1, KAI3430538.1, KAI3428371.1	scaffold18.g1891.t1
OG0002979	KAI3428370.1	scaffold18.g1892.t1
OG0002980	KAI3428369.1	scaffold18.g1893.t1
OG0002981	KAI3428367.1	scaffold18.g1894.t1
OG0002982	KAI3428381.1	scaffold18.g1896.t1
OG0002983	KAI3428838.1	scaffold18.g1898.t1
OG0002984	KAI3428839.1	scaffold18.g1899.t1
OG0002985	KAI3428836.1	scaffold18.g1900.t1
OG0002986	KAI3428835.1	scaffold18.g1901.t1
OG0002987	KAI3428841.1	scaffold18.g1903.t1
OG0002988	KAI3428837.1	scaffold18.g1904.t1
OG0002989	KAI3428825.1	scaffold18.g1905.t1
OG0002990	KAI3428823.1	scaffold18.g1906.t1
OG0002991	KAI3428830.1	scaffold18.g1909.t1
OG0002992	KAI3428786.1, KAI3428785.1	scaffold18.g1910.t1
OG0002993	KAI3428784.1	scaffold18.g1911.t1
OG0002994	KAI3428779.1	scaffold18.g1912.t1
OG0002995	KAI3428807.1	scaffold18.g1916.t1
OG0002996	KAI3428808.1	scaffold18.g1917.t1
OG0002998	KAI3428832.1	scaffold18.g1920.t1
OG0002999	KAI3428788.1	scaffold18.g1921.t1
OG0003000	KAI3428791.1	scaffold18.g1922.t1
OG0003001	KAI3428792.1	scaffold18.g1923.t1
OG0003002	KAI3428794.1	scaffold18.g1925.t1
OG0003003	KAI3428796.1	scaffold18.g1926.t1
OG0003004	KAI3428799.1	scaffold18.g1927.t1
OG0003005	KAI3428114.1	scaffold18.g1928.t1
OG0003006	KAI3428110.1	scaffold18.g1931.t1
OG0003007	KAI3424895.1	scaffold18.g1933.t1
OG0003008	KAI3424781.1	scaffold18.g1935.t1
OG0003009	KAI3427057.1	scaffold18.g1937.t1
OG0003010	KAI3428131.1	scaffold18.g1940.t1
OG0003011	KAI3428140.1	scaffold18.g1943.t1
OG0003012	KAI3428123.1	scaffold18.g1957.t1
OG0003013	KAI3428121.1	scaffold18.g1958.t1
OG0003014	KAI3428117.1	scaffold18.g1959.t1
OG0003015	KAI3428181.1	scaffold18.g1961.t1
OG0003016	KAI3428183.1	scaffold18.g1962.t1
OG0003017	KAI3428191.1	scaffold18.g1963.t1
OG0003018	KAI3428176.1	scaffold18.g1967.t1
OG0003019	KAI3424807.1	scaffold18.g1970.t1
OG0003020	KAI3428249.1	scaffold18.g1971.t1
OG0003021	KAI3428262.1	scaffold18.g1974.t1
OG0003022	KAI3428766.1	scaffold18.g1977.t1
OG0003023	KAI3428293.1	scaffold18.g1981.t1
OG0003024	KAI3428774.1	scaffold18.g1983.t1
OG0003025	KAI3428775.1	scaffold18.g1984.t1
OG0003026	KAI3428801.1	scaffold18.g1987.t1
OG0003027	KAI3428107.1	scaffold18.g1988.t1
OG0003028	KAI3428091.1	scaffold18.g1992.t1
OG0003029	KAI3428214.1	scaffold18.g1993.t1
OG0003030	KAI3428240.1	scaffold18.g1994.t1
OG0003031	KAI3428216.1	scaffold18.g2009.t1
OG0003032	KAI3428219.1	scaffold18.g2010.t1
OG0003033	KAI3428218.1	scaffold18.g2011.t1
OG0003034	KAI3428221.1	scaffold18.g2012.t1
OG0003035	KAI3428220.1	scaffold18.g2013.t1
OG0003036	KAI3428226.1	scaffold18.g2014.t1
OG0003037	KAI3428225.1	scaffold18.g2015.t1
OG0003038	KAI3428227.1	scaffold18.g2016.t1
OG0003039	KAI3428197.1	scaffold18.g2020.t1
OG0003040	KAI3428204.1	scaffold18.g2023.t1
OG0003041	KAI3428203.1	scaffold18.g2024.t1
OG0003042	KAI3428202.1	scaffold18.g2025.t1
OG0003043	KAI3428208.1	scaffold18.g2026.t1
OG0003044	KAI3428207.1	scaffold18.g2027.t1
OG0003045	KAI3428237.1	scaffold18.g2029.t1
OG0003046	KAI3428233.1	scaffold18.g2031.t1
OG0003047	KAI3428224.1	scaffold18.g2033.t1
OG0003048	KAI3428229.1	scaffold18.g2034.t1
OG0003049	KAI3428198.1	scaffold18.g2035.t1
OG0003050	KAI3428201.1	scaffold18.g2036.t1
OG0003051	KAI3428714.1	scaffold18.g2042.t1
OG0003052	KAI3428244.1	scaffold18.g2043.t1
OG0003053	KAI3428020.1	scaffold18.g2053.t1
OG0003054	KAI3432221.1	scaffold18.g2054.t1
OG0003055	KAI3428013.1	scaffold18.g2056.t1
OG0003056	KAI3428014.1	scaffold18.g2057.t1
OG0003057	KAI3428018.1	scaffold18.g2060.t1
OG0003058	KAI3428028.1	scaffold18.g2062.t1
OG0003059	KAI3428089.1	scaffold18.g2063.t1
OG0003060	KAI3438085.1	scaffold21.g2070.t1
OG0003061	KAI3438082.1	scaffold21.g2071.t1
OG0003062	KAI3438092.1	scaffold21.g2072.t1
OG0003063	KAI3429306.1	scaffold21.g2073.t1
OG0003064	KAI3438338.1	scaffold21.g2074.t1
OG0003065	KAI3438237.1	scaffold21.g2075.t1
OG0003066	KAI3438236.1	scaffold21.g2077.t1
OG0003067	KAI3438235.1	scaffold21.g2078.t1
OG0003068	KAI3438337.1	scaffold21.g2080.t1
OG0003069	KAI3438335.1	scaffold21.g2081.t1
OG0003070	KAI3438334.1	scaffold21.g2082.t1
OG0003071	KAI3438230.1	scaffold21.g2089.t1
OG0003072	KAI3438229.1	scaffold21.g2092.t1
OG0003073	KAI3438228.1	scaffold21.g2093.t1
OG0003074	KAI3438227.1	scaffold21.g2094.t1
OG0003075	KAI3438219.1	scaffold21.g2098.t1
OG0003076	KAI3438218.1	scaffold21.g2099.t1
OG0003077	KAI3438217.1	scaffold21.g2100.t1
OG0003078	KAI3438215.1	scaffold21.g2101.t1
OG0003079	KAI3438214.1	scaffold21.g2102.t1
OG0003080	KAI3438212.1	scaffold21.g2103.t1
OG0003081	KAI3438207.1	scaffold21.g2104.t1
OG0003082	KAI3438202.1	scaffold21.g2106.t1
OG0003083	KAI3438201.1	scaffold21.g2107.t1
OG0003084	KAI3438205.1	scaffold21.g2110.t1
OG0003085	KAI3438206.1	scaffold21.g2111.t1
OG0003086	KAI3438211.1	scaffold21.g2112.t1
OG0003087	KAI3438209.1	scaffold21.g2113.t1
OG0003088	KAI3438208.1	scaffold21.g2114.t1
OG0003089	KAI3437979.1	scaffold21.g2116.t1
OG0003090	KAI3437975.1	scaffold21.g2117.t1
OG0003091	KAI3437971.1	scaffold21.g2120.t1
OG0003092	KAI3438093.1	scaffold21.g2124.t1
OG0003093	KAI3438084.1	scaffold21.g2125.t1
OG0003094	KAI3438090.1	scaffold21.g2126.t1
OG0003095	KAI3438094.1	scaffold21.g2127.t1
OG0003096	KAI3438117.1	scaffold21.g2129.t1
OG0003097	KAI3438116.1	scaffold21.g2130.t1
OG0003098	KAI3438115.1	scaffold21.g2131.t1
OG0003099	KAI3438114.1	scaffold21.g2132.t1
OG0003100	KAI3438113.1	scaffold21.g2133.t1
OG0003101	KAI3438112.1	scaffold21.g2134.t1
OG0003102	KAI3438110.1	scaffold21.g2136.t1
OG0003103	KAI3438108.1	scaffold21.g2137.t1
OG0003104	KAI3438107.1	scaffold21.g2138.t1
OG0003105	KAI3438102.1	scaffold11.g4073.t1, scaffold21.g2140.t1
OG0003106	KAI3438101.1	scaffold21.g2141.t1
OG0003107	KAI3438098.1	scaffold21.g2143.t1
OG0003108	KAI3438096.1	scaffold21.g2147.t1
OG0003109	KAI3428076.1	scaffold21.g2148.t1
OG0003110	KAI3424879.1	scaffold21.g2149.t1
OG0003111	KAI3424882.1, KAI3424881.1	scaffold21.g2150.t1
OG0003112	KAI3424744.1	scaffold21.g2152.t1
OG0003113	KAI3424707.1	scaffold21.g2153.t1
OG0003114	KAI3431732.1	scaffold21.g2154.t1
OG0003115	KAI3424716.1	scaffold21.g2156.t1
OG0003116	KAI3424709.1	scaffold21.g2157.t1
OG0003117	KAI3424928.1	scaffold21.g2162.t1
OG0003118	KAI3424929.1	scaffold21.g2163.t1
OG0003119	KAI3432398.1	scaffold21.g2173.t1
OG0003120	KAI3424930.1	scaffold21.g2179.t1
OG0003121	KAI3424938.1	scaffold21.g2181.t1
OG0003122	KAI3424937.1	scaffold21.g2182.t1
OG0003123	KAI3438293.1	scaffold21.g2184.t1
OG0003124	KAI3424945.1	scaffold21.g2185.t1
OG0003125	KAI3424946.1	scaffold21.g2187.t1
OG0003126	KAI3424947.1	scaffold21.g2188.t1
OG0003127	KAI3438278.1	scaffold21.g2191.t1
OG0003128	KAI3430243.1	scaffold21.g2193.t1
OG0003130	KAI3438823.1	scaffold21.g2196.t1
