Orthogroup	oneline_A99_genome_proteins	oneline_m_conductrix_genome_proteins
OG0002509	scaffold17.g568.t1	PSC68755.1
OG0002510	scaffold17.g571.t1	PSC68806.1
OG0002511	scaffold17.g572.t1	PSC73748.1
OG0002513	scaffold17.g580.t1	PSC73378.1
OG0002514	scaffold17.g582.t1	PSC73696.1
OG0002515	scaffold17.g583.t1	PSC73721.1
OG0002516	scaffold17.g585.t1, scaffold17.g584.t1	PSC73425.1
OG0002517	scaffold17.g588.t1	PSC73804.1
OG0002518	scaffold17.g594.t1	PSC68787.1
OG0002520	scaffold17.g600.t1	PSC69407.1
OG0002521	scaffold5.g605.t1	PSC72453.1
OG0002523	scaffold5.g611.t1	PSC75384.1
OG0002524	scaffold5.g612.t1	PSC71125.1
OG0002525	scaffold5.g617.t1	PSC76483.1
OG0002526	scaffold5.g620.t1	PSC75378.1
OG0002527	scaffold5.g623.t1	PSC67889.1
OG0002528	scaffold5.g624.t1	PSC67898.1
OG0002529	scaffold5.g634.t1	PSC67888.1
OG0002530	scaffold5.g635.t1	PSC67882.1
OG0002531	scaffold5.g641.t1	PSC67902.1
OG0002532	scaffold5.g645.t1	PSC76245.1
OG0002533	scaffold5.g646.t1	PSC76860.1
OG0002534	scaffold5.g649.t1	PSC73530.1
OG0002535	scaffold5.g650.t1	PSC67316.1
OG0002536	scaffold5.g656.t1	PSC76354.1
OG0002537	scaffold5.g658.t1	PSC67979.1
OG0002538	scaffold5.g660.t1	PSC76976.1
OG0002539	scaffold5.g667.t1	PSC72133.1
OG0002540	scaffold5.g673.t1	PSC73857.1
OG0002541	scaffold5.g674.t1	PSC73744.1
OG0002542	scaffold5.g701.t1, scaffold5.g683.t1	PSC68422.1, PSC67638.1
OG0002543	scaffold5.g684.t1	PSC72434.1
OG0002544	scaffold5.g693.t1	PSC73535.1
OG0002545	scaffold5.g694.t1	PSC73435.1
OG0002546	scaffold5.g695.t1	PSC73447.1
OG0002547	scaffold5.g696.t1	PSC73238.1
OG0002548	scaffold5.g712.t1	PSC76810.1
OG0002549	scaffold5.g713.t1	PSC76199.1
OG0002550	scaffold5.g715.t1	PSC76875.1
OG0002551	scaffold5.g718.t1	PSC76731.1
OG0002552	scaffold5.g721.t1	PSC76934.1
OG0002553	scaffold5.g727.t1	PSC76805.1
OG0002554	scaffold5.g735.t1	PSC76313.1
OG0002555	scaffold5.g738.t1	PSC77002.1
OG0002556	scaffold5.g739.t1	PSC76509.1
OG0002557	scaffold5.g741.t1	PSC77060.1
OG0002558	scaffold5.g743.t1	PSC68872.1
OG0002559	scaffold5.g745.t1	PSC76888.1
OG0002560	scaffold5.g747.t1	PSC76755.1
OG0002561	scaffold5.g749.t1	PSC76297.1
OG0002562	scaffold5.g750.t1	PSC74668.1
OG0002563	scaffold5.g752.t1	PSC76646.1
OG0002564	scaffold5.g753.t1	PSC76792.1
OG0002566	scaffold5.g756.t1	PSC76610.1
OG0002567	scaffold5.g759.t1	PSC67861.1
OG0002568	scaffold5.g764.t1	PSC67879.1
OG0002570	scaffold5.g767.t1	PSC77014.1
OG0002571	scaffold5.g768.t1	PSC76933.1
OG0002572	scaffold5.g769.t1	PSC75437.1
OG0002573	scaffold5.g770.t1	PSC75482.1
OG0002574	scaffold5.g773.t1	PSC75629.1
OG0002575	scaffold5.g776.t1	PSC75832.1
OG0002576	scaffold5.g779.t1	PSC75974.1
OG0002577	scaffold5.g781.t1	PSC75650.1
OG0002578	scaffold5.g784.t1	PSC73632.1
OG0002579	scaffold5.g786.t1	PSC75430.1
OG0002580	scaffold5.g788.t1	PSC75804.1
OG0002581	scaffold5.g789.t1	PSC76006.1
OG0002582	scaffold5.g793.t1	PSC75758.1
OG0002583	scaffold5.g795.t1	PSC75410.1
OG0002584	scaffold5.g796.t1	PSC73243.1
OG0002585	scaffold5.g798.t1	PSC73522.1
OG0002586	scaffold5.g799.t1	PSC73236.1
OG0002587	scaffold5.g802.t1	PSC73387.1
OG0002588	scaffold5.g804.t1	PSC73669.1
OG0002589	scaffold5.g805.t1	PSC75331.1
OG0002590	scaffold5.g807.t1	PSC73318.1
OG0002591	scaffold5.g810.t1	PSC69026.1
OG0002592	scaffold5.g811.t1	PSC73828.1
OG0002593	scaffold5.g812.t1	PSC73547.1
OG0002594	scaffold5.g816.t1	PSC76250.1
OG0002595	scaffold5.g817.t1	PSC73864.1
OG0002596	scaffold5.g819.t1	PSC74291.1
OG0002597	scaffold5.g826.t1	PSC75252.1
OG0002598	scaffold5.g830.t1	PSC75979.1
OG0002599	scaffold5.g831.t1	PSC75460.1
OG0002600	scaffold5.g833.t1	PSC75356.1
OG0002601	scaffold5.g834.t1	PSC75967.1
OG0002602	scaffold5.g835.t1	PSC75450.1
OG0002603	scaffold5.g837.t1	PSC75359.1
OG0002604	scaffold5.g839.t1	PSC75704.1
OG0002605	scaffold5.g840.t1	PSC75795.1
OG0002606	scaffold5.g842.t1	PSC75886.1
OG0002607	scaffold5.g846.t1	PSC75412.1
OG0002608	scaffold5.g848.t1	PSC75337.1
OG0002609	scaffold5.g849.t1	PSC75576.1
OG0002610	scaffold5.g855.t1	PSC72687.1
OG0002611	scaffold5.g861.t1	PSC76138.1
OG0002612	scaffold5.g863.t1	PSC76374.1
OG0002613	scaffold5.g865.t1	PSC69260.1
OG0002615	scaffold5.g869.t1	PSC77052.1
OG0002616	scaffold5.g872.t1	PSC76742.1
OG0002617	scaffold5.g874.t1	PSC76201.1
OG0002618	scaffold5.g875.t1	PSC76767.1
OG0002619	scaffold5.g880.t1	PSC76234.1
OG0002620	scaffold5.g881.t1	PSC76464.1
OG0002621	scaffold5.g882.t1	PSC77062.1
OG0002622	scaffold5.g883.t1	PSC76155.1
OG0002623	scaffold5.g885.t1	PSC76701.1
OG0002624	scaffold5.g891.t1	PSC76085.1
OG0002625	scaffold5.g897.t1	PSC76766.1
OG0002626	scaffold5.g902.t1	PSC75278.1
OG0002627	scaffold5.g908.t1	PSC70583.1
OG0002628	scaffold5.g922.t1	PSC75261.1
OG0002629	scaffold5.g923.t1	PSC67972.1
OG0002630	scaffold5.g930.t1	PSC67860.1
OG0002631	scaffold5.g932.t1	PSC75462.1
OG0002632	scaffold5.g937.t1	PSC75657.1
OG0002633	scaffold5.g938.t1	PSC75877.1
OG0002634	scaffold5.g939.t1	PSC75509.1
OG0002635	scaffold5.g943.t1	PSC76005.1
OG0002636	scaffold5.g944.t1	PSC67845.1
OG0002638	scaffold5.g948.t1	PSC75486.1
OG0002639	scaffold5.g951.t1	PSC67851.1
OG0002640	scaffold5.g952.t1	PSC67874.1
OG0002641	scaffold5.g953.t1	PSC75385.1, PSC67880.1
OG0002642	scaffold5.g956.t1	PSC67842.1
OG0002643	scaffold5.g957.t1	PSC67841.1
OG0002644	scaffold5.g959.t1	PSC76400.1
OG0002645	scaffold5.g967.t1	PSC67867.1
OG0002646	scaffold5.g968.t1	PSC75280.1
OG0002647	scaffold5.g971.t1	PSC67973.1
OG0002648	scaffold5.g975.t1	PSC67964.1
OG0002649	scaffold5.g978.t1	PSC67974.1
OG0002650	scaffold5.g980.t1	PSC67988.1
OG0002651	scaffold5.g983.t1	PSC67965.1
OG0002652	scaffold5.g988.t1	PSC69375.1
OG0002653	scaffold5.g989.t1	PSC75151.1
OG0002654	scaffold5.g991.t1	PSC67944.1
OG0002655	scaffold5.g997.t1	PSC67959.1
OG0002656	scaffold5.g1011.t1	PSC76232.1
OG0002657	scaffold5.g1012.t1	PSC76649.1
OG0002658	scaffold5.g1013.t1	PSC69266.1
OG0002659	scaffold5.g1015.t1	PSC76702.1
OG0002660	scaffold14.g1016.t1	PSC75453.1
OG0002661	scaffold14.g1020.t1	PSC75966.1
OG0002662	scaffold14.g1021.t1	PSC75238.1
OG0002663	scaffold14.g1026.t1	PSC75448.1
OG0002664	scaffold14.g1031.t1	PSC70248.1
OG0002665	scaffold14.g1033.t1	PSC69801.1
OG0002666	scaffold14.g1037.t1	PSC69758.1
OG0002668	scaffold14.g1040.t1	PSC69779.1
OG0002669	scaffold14.g1044.t1	PSC75608.1
OG0002670	scaffold14.g1046.t1	PSC75990.1
OG0002671	scaffold14.g1047.t1	PSC72162.1
OG0002672	scaffold14.g1054.t1	PSC69794.1
OG0002674	scaffold14.g1059.t1	PSC69713.1
OG0002675	scaffold14.g1060.t1	PSC75495.1
OG0002676	scaffold14.g1064.t1	PSC75738.1
OG0002677	scaffold14.g1065.t1	PSC75467.1
OG0002678	scaffold14.g1066.t1	PSC75314.1
OG0002679	scaffold14.g1068.t1	PSC69772.1
OG0002680	scaffold14.g1069.t1	PSC69790.1
OG0002681	scaffold14.g1076.t1	PSC75476.1
OG0002682	scaffold14.g1086.t1	PSC75593.1
OG0002683	scaffold14.g1087.t1	PSC75391.1
OG0002684	scaffold14.g1088.t1	PSC75752.1
OG0002685	scaffold14.g1089.t1	PSC75890.1
OG0002686	scaffold14.g1090.t1, scaffold14.g1109.t1	PSC75480.1
OG0002687	scaffold14.g1094.t1	PSC75335.1
OG0002688	scaffold14.g1095.t1	PSC75581.1
OG0002689	scaffold14.g1101.t1	PSC75419.1
OG0002690	scaffold14.g1102.t1	PSC75792.1
OG0002691	scaffold14.g1103.t1	PSC75245.1
OG0002692	scaffold14.g1106.t1	PSC75751.1
OG0002693	scaffold14.g1107.t1	PSC75684.1
OG0002694	scaffold14.g1111.t1	PSC71816.1
OG0002695	scaffold14.g1113.t1	PSC76622.1
OG0002696	scaffold14.g1115.t1	PSC72197.1
OG0002697	scaffold14.g1117.t1	PSC76930.1
OG0002698	scaffold14.g1120.t1	PSC72961.1
OG0002699	scaffold14.g1125.t1	PSC76567.1
OG0002700	scaffold14.g1126.t1	PSC76827.1, PSC76826.1
OG0002701	scaffold14.g1128.t1	PSC76940.1
OG0002702	scaffold14.g1130.t1	PSC76754.1
OG0002703	scaffold14.g1131.t1	PSC76724.1
OG0002704	scaffold14.g1133.t1	PSC74735.1, PSC74736.1
OG0002705	scaffold14.g1138.t1	PSC73426.1
OG0002706	scaffold14.g1140.t1	PSC69915.1
OG0002707	scaffold14.g1142.t1	PSC75571.1
OG0002708	scaffold14.g1144.t1	PSC77059.1
OG0002709	scaffold14.g1149.t1	PSC75260.1
OG0002710	scaffold14.g1157.t1	PSC76607.1
OG0002711	scaffold14.g1159.t1	PSC75732.1
OG0002712	scaffold14.g1161.t1	PSC75921.1, PSC75922.1
OG0002713	scaffold14.g1165.t1	PSC75243.1
OG0002714	scaffold14.g1169.t1	PSC75406.1
OG0002715	scaffold14.g1171.t1	PSC75354.1
OG0002716	scaffold14.g1176.t1	PSC75315.1
OG0002717	scaffold14.g1181.t1	PSC75701.1
OG0002718	scaffold14.g1185.t1	PSC75739.1
OG0002719	scaffold14.g1188.t1	PSC75538.1
OG0002720	scaffold14.g1191.t1	PSC75332.1
OG0002721	scaffold14.g1194.t1	PSC73044.1, PSC73045.1
OG0002722	scaffold14.g1195.t1	PSC75518.1
OG0002723	scaffold14.g1197.t1	PSC75821.1
OG0002724	scaffold14.g1201.t1	PSC75603.1
OG0002725	scaffold14.g1207.t1	PSC75392.1
OG0002726	scaffold14.g1208.t1	PSC72259.1
OG0002727	scaffold14.g1216.t1	PSC75289.1
OG0002728	scaffold14.g1220.t1	PSC75602.1
OG0002729	scaffold14.g1225.t1	PSC72157.1
OG0002730	scaffold14.g1228.t1	PSC75870.1
OG0002731	scaffold14.g1231.t1	PSC70689.1
OG0002732	scaffold14.g1235.t1	PSC75892.1
OG0002733	scaffold14.g1236.t1	PSC68960.1
OG0002734	scaffold14.g1238.t1	PSC75529.1
OG0002735	scaffold14.g1239.t1	PSC75458.1
OG0002736	scaffold14.g1240.t1	PSC75352.1
OG0002737	scaffold14.g1241.t1	PSC75903.1
OG0002738	scaffold14.g1305.t1, scaffold14.g1259.t1, scaffold14.g1246.t1	PSC73944.1
OG0002739	scaffold14.g1253.t1	PSC76377.1
OG0002740	scaffold14.g1256.t1	PSC70941.1
OG0002741	scaffold14.g1257.t1	PSC75517.1
OG0002742	scaffold14.g1261.t1	PSC76165.1
OG0002743	scaffold14.g1262.t1	PSC68240.1
OG0002744	scaffold14.g1264.t1	PSC72260.1
OG0002745	scaffold14.g1265.t1	PSC76383.1
OG0002747	scaffold14.g1276.t1	PSC75472.1
OG0002748	scaffold14.g1280.t1	PSC75788.1
OG0002749	scaffold14.g1281.t1	PSC75397.1
OG0002750	scaffold14.g1290.t1	PSC75524.1
OG0002751	scaffold14.g1297.t1	PSC67918.1
OG0002752	scaffold14.g1307.t1	PSC73642.1
OG0002754	scaffold14.g1313.t1	PSC68783.1
OG0002755	scaffold14.g1319.t1	PSC75879.1
OG0002756	scaffold14.g1321.t1	PSC75835.1
OG0002757	scaffold14.g1324.t1	PSC68050.1
OG0002758	scaffold14.g1326.t1	PSC73730.1
OG0002759	scaffold14.g1333.t1	PSC73556.1
OG0002760	scaffold14.g1338.t1	PSC72125.1
OG0002761	scaffold14.g1340.t1	PSC75918.1
OG0002763	scaffold14.g1350.t1	PSC73844.1
OG0002764	scaffold14.g1351.t1	PSC73712.1
OG0002765	scaffold8.g1355.t1	PSC71573.1
OG0002766	scaffold8.g1358.t1	PSC71620.1
OG0002767	scaffold8.g1360.t1	PSC71518.1
OG0002768	scaffold8.g1361.t1	PSC71654.1
OG0002769	scaffold8.g1363.t1	PSC71469.1
OG0002770	scaffold8.g1367.t1	PSC71624.1
OG0002771	scaffold8.g1368.t1	PSC71525.1
OG0002772	scaffold8.g1372.t1	PSC72772.1
OG0002773	scaffold8.g1373.t1	PSC72692.1
OG0002774	scaffold8.g1374.t1	PSC72888.1
OG0002775	scaffold8.g1376.t1	PSC72640.1
OG0002776	scaffold8.g1379.t1	PSC71596.1
OG0002777	scaffold8.g1381.t1	PSC71610.1
OG0002778	scaffold8.g1382.t1	PSC71630.1
OG0002779	scaffold8.g1383.t1	PSC71657.1
OG0002780	scaffold1.g5874.t1, scaffold10.g2403.t1, scaffold8.g1384.t1	PSC68942.1
OG0002781	scaffold8.g1385.t1	PSC71528.1
OG0002782	scaffold8.g1386.t1	PSC71604.1
OG0002783	scaffold8.g1387.t1	PSC71474.1
OG0002784	scaffold8.g1389.t1	PSC71484.1
OG0002785	scaffold8.g1390.t1	PSC71570.1
OG0002786	scaffold8.g1394.t1	PSC71448.1, PSC71446.1
OG0002787	scaffold8.g1395.t1	PSC71494.1
OG0002788	scaffold8.g1396.t1	PSC73438.1
OG0002789	scaffold8.g1399.t1	PSC71645.1
OG0002790	scaffold8.g1402.t1	PSC71538.1
OG0002791	scaffold8.g1405.t1	PSC72828.1
OG0002792	scaffold8.g1407.t1	PSC72738.1
OG0002793	scaffold8.g1412.t1	PSC71601.1, PSC71583.1
OG0002794	scaffold8.g1413.t1	PSC72609.1, PSC72610.1
OG0002795	scaffold8.g1415.t1	PSC72764.1
OG0002796	scaffold8.g1420.t1	PSC71527.1
OG0002797	scaffold8.g1421.t1	PSC71663.1
OG0002798	scaffold8.g1423.t1	PSC71644.1
OG0002799	scaffold8.g1425.t1	PSC71481.1
OG0002800	scaffold8.g1430.t1	PSC71648.1
OG0002801	scaffold8.g1431.t1	PSC71667.1
OG0002802	scaffold8.g1432.t1	PSC71580.1
OG0002803	scaffold8.g1435.t1	PSC71504.1
OG0002804	scaffold8.g1438.t1	PSC71498.1
OG0002805	scaffold8.g1442.t1	PSC71485.1
OG0002806	scaffold8.g1446.t1	PSC67461.1
OG0002807	scaffold8.g1451.t1	PSC67470.1
OG0002808	scaffold8.g1454.t1	PSC67471.1
OG0002809	scaffold8.g1456.t1	PSC67474.1
OG0002810	scaffold8.g1457.t1	PSC67469.1
OG0002811	scaffold8.g1460.t1	PSC67464.1
OG0002812	scaffold8.g1461.t1	PSC67465.1
OG0002813	scaffold8.g1462.t1	PSC67476.1, PSC67475.1
OG0002814	scaffold8.g1465.t1	PSC67456.1
OG0002815	scaffold8.g1466.t1	PSC67472.1
OG0002816	scaffold8.g1468.t1	PSC72807.1
OG0002817	scaffold8.g1469.t1	PSC72802.1
OG0002818	scaffold8.g1470.t1	PSC72741.1
OG0002819	scaffold8.g1471.t1	PSC71508.1
OG0002820	scaffold8.g1472.t1	PSC71524.1
OG0002821	scaffold8.g1474.t1	PSC72905.1
OG0002822	scaffold8.g1477.t1	PSC72643.1
OG0002823	scaffold8.g1479.t1	PSC72920.1
OG0002824	scaffold8.g1480.t1	PSC72673.1
OG0002825	scaffold8.g1484.t1	PSC72880.1
OG0002826	scaffold8.g1485.t1	PSC72789.1
OG0002827	scaffold8.g1486.t1	PSC72744.1
OG0002828	scaffold8.g1489.t1	PSC72936.1
OG0002829	scaffold8.g1492.t1	PSC72822.1
OG0002830	scaffold8.g1493.t1	PSC72734.1
OG0002831	scaffold8.g1494.t1	PSC72651.1
OG0002832	scaffold8.g1497.t1	PSC72886.1
OG0002833	scaffold8.g1498.t1	PSC72721.1
OG0002834	scaffold8.g1499.t1	PSC72846.1, PSC72845.1
OG0002835	scaffold8.g1500.t1	PSC72605.1
OG0002836	scaffold8.g1501.t1	PSC72638.1
OG0002837	scaffold8.g1502.t1	PSC72742.1
OG0002838	scaffold8.g1503.t1	PSC72725.1
OG0002839	scaffold8.g1504.t1	PSC72817.1
OG0002840	scaffold8.g1506.t1	PSC72694.1
OG0002841	scaffold8.g1509.t1	PSC72834.1
OG0002842	scaffold8.g1513.t1	PSC72927.1
OG0002843	scaffold8.g1514.t1	PSC72708.1
OG0002844	scaffold8.g1515.t1	PSC72674.1
OG0002845	scaffold8.g1517.t1	PSC72840.1
OG0002846	scaffold8.g1519.t1	PSC72707.1
OG0002847	scaffold8.g1522.t1	PSC72681.1
OG0002848	scaffold8.g1523.t1	PSC72837.1
OG0002849	scaffold8.g1524.t1	PSC72607.1
OG0002850	scaffold8.g1525.t1	PSC72682.1
OG0002851	scaffold8.g1531.t1	PSC72748.1
OG0002852	scaffold8.g1533.t1	PSC72768.1
OG0002853	scaffold8.g1534.t1	PSC72773.1
OG0002854	scaffold8.g1535.t1	PSC72733.1
OG0002855	scaffold8.g1536.t1	PSC72812.1
OG0002856	scaffold8.g1537.t1	PSC72919.1
OG0002857	scaffold8.g1538.t1	PSC72683.1
OG0002858	scaffold8.g1539.t1	PSC72850.1
OG0002859	scaffold8.g1542.t1	PSC72765.1
OG0002860	scaffold8.g1543.t1	PSC72925.1
OG0002861	scaffold8.g1544.t1	PSC72804.1
OG0002862	scaffold8.g1546.t1	PSC72794.1
OG0002863	scaffold8.g1547.t1	PSC72821.1
OG0002864	scaffold8.g1548.t1	PSC72606.1
OG0002865	scaffold8.g1550.t1	PSC72900.1
OG0002866	scaffold8.g1552.t1	PSC73288.1
OG0002867	scaffold8.g1554.t1	PSC72626.1
OG0002868	scaffold8.g1555.t1	PSC72811.1
OG0002869	scaffold8.g1557.t1	PSC73334.1
OG0002870	scaffold8.g1558.t1	PSC73478.1
OG0002871	scaffold8.g1559.t1	PSC69593.1
OG0002872	scaffold8.g1560.t1	PSC67209.1
OG0002873	scaffold8.g1562.t1	PSC72863.1
OG0002874	scaffold8.g1564.t1	PSC71419.1
OG0002875	scaffold8.g1567.t1	PSC71243.1
OG0002876	scaffold8.g1573.t1	PSC72355.1
OG0002877	scaffold8.g1576.t1	PSC73634.1
OG0002878	scaffold8.g1578.t1	PSC74370.1
OG0002879	scaffold8.g1579.t1	PSC73068.1
OG0002880	scaffold8.g1585.t1	PSC75396.1
OG0002881	scaffold8.g1586.t1	PSC75247.1
OG0002882	scaffold8.g1587.t1	PSC68714.1
OG0002883	scaffold8.g1591.t1	PSC74678.1
OG0002884	scaffold8.g1595.t1	PSC73319.1
OG0002885	scaffold8.g1598.t1	PSC69303.1
OG0002886	scaffold8.g1599.t1	PSC74429.1
OG0002887	scaffold8.g1601.t1	PSC74466.1
OG0002888	scaffold8.g1602.t1	PSC74733.1
OG0002889	scaffold8.g1610.t1	PSC71773.1
OG0002890	scaffold8.g1612.t1	PSC74602.1
OG0002891	scaffold8.g1614.t1	PSC76257.1
OG0002892	scaffold8.g1616.t1	PSC74684.1
OG0002893	scaffold8.g1625.t1	PSC68596.1
OG0002894	scaffold8.g1631.t1	PSC71279.1
OG0002895	scaffold8.g1640.t1	PSC74807.1
OG0002896	scaffold8.g1643.t1	PSC69325.1
OG0002897	scaffold8.g1650.t1	PSC74873.1
OG0002898	scaffold8.g1652.t1	PSC68812.1
OG0002899	scaffold8.g1663.t1	PSC68935.1
OG0002900	scaffold8.g1665.t1	PSC74786.1, PSC74787.1
OG0002901	scaffold8.g1666.t1	PSC74619.1
OG0002902	scaffold8.g1669.t1	PSC69926.1
OG0002903	scaffold8.g1673.t1	PSC72981.1
OG0002904	scaffold8.g1682.t1	PSC74655.1
OG0002905	scaffold8.g1688.t1	PSC73892.1
OG0002906	scaffold8.g1689.t1, scaffold8.g1691.t1	PSC74716.1
OG0002907	scaffold8.g1708.t1	PSC68848.1
OG0002908	scaffold8.g1712.t1	PSC69956.1
OG0002909	scaffold8.g1718.t1	PSC74501.1
OG0002910	scaffold8.g1722.t1	PSC74459.1
OG0002911	scaffold8.g1735.t1	PSC74512.1, PSC74511.1
OG0002912	scaffold19.g1741.t1	PSC76154.1
OG0002913	scaffold19.g1742.t1	PSC76348.1
OG0002914	scaffold19.g1745.t1	PSC70489.1
OG0002915	scaffold19.g1749.t1	PSC69557.1
OG0002916	scaffold19.g1751.t1	PSC69494.1
OG0002917	scaffold19.g1758.t1	PSC76592.1
OG0002918	scaffold19.g1759.t1	PSC75672.1
OG0002919	scaffold19.g1761.t1	PSC76487.1
OG0002920	scaffold19.g1766.t1	PSC68218.1
OG0002921	scaffold19.g1767.t1	PSC76061.1
OG0002922	scaffold19.g1768.t1	PSC76578.1
OG0002923	scaffold19.g1769.t1	PSC76293.1
OG0002924	scaffold19.g1773.t1	PSC69571.1
OG0002925	scaffold19.g1774.t1	PSC69540.1
OG0002926	scaffold19.g1775.t1	PSC69468.1
OG0002927	scaffold19.g1778.t1	PSC69490.1
OG0002928	scaffold19.g1780.t1	PSC73797.1
OG0002929	scaffold19.g1781.t1	PSC76972.1
OG0002930	scaffold19.g1782.t1	PSC70562.1
OG0002931	scaffold19.g1785.t1	PSC76205.1
OG0002932	scaffold19.g1789.t1	PSC69528.1
OG0002933	scaffold19.g1791.t1	PSC69441.1
OG0002934	scaffold19.g1793.t1	PSC74028.1
OG0002935	scaffold19.g1797.t1	PSC69469.1
OG0002936	scaffold19.g1798.t1	PSC69505.1, PSC69448.1
OG0002937	scaffold19.g1799.t1	PSC76320.1
OG0002938	scaffold19.g1800.t1	PSC76533.1
OG0002939	scaffold19.g1802.t1	PSC69467.1
OG0002940	scaffold19.g1803.t1	PSC69563.1
OG0002941	scaffold19.g1807.t1	PSC77057.1
OG0002942	scaffold19.g1809.t1	PSC76338.1
OG0002943	scaffold19.g1810.t1	PSC76499.1
OG0002944	scaffold19.g1811.t1	PSC76033.1
OG0002945	scaffold19.g1812.t1	PSC76608.1
OG0002946	scaffold19.g1819.t1	PSC69568.1
OG0002947	scaffold19.g1820.t1	PSC69483.1
OG0002948	scaffold19.g1821.t1	PSC69445.1, PSC69444.1
OG0002949	scaffold19.g1822.t1	PSC69443.1
OG0002950	scaffold19.g1825.t1	PSC69552.1
OG0002951	scaffold19.g1827.t1	PSC69479.1
OG0002952	scaffold19.g1832.t1	PSC69497.1
OG0002953	scaffold19.g1833.t1	PSC69533.1
OG0002954	scaffold19.g1834.t1	PSC69538.1
OG0002955	scaffold19.g1835.t1	PSC69526.1
OG0002956	scaffold19.g1840.t1	PSC69531.1
OG0002957	scaffold19.g1847.t1	PSC69561.1
OG0002958	scaffold19.g1850.t1	PSC69456.1
OG0002959	scaffold19.g1851.t1	PSC69446.1
OG0002960	scaffold19.g1852.t1	PSC69478.1
OG0002961	scaffold19.g1853.t1	PSC72246.1
OG0002962	scaffold19.g1856.t1	PSC69462.1
OG0002963	scaffold19.g1860.t1	PSC74940.1
OG0002964	scaffold19.g1861.t1	PSC74989.1
OG0002965	scaffold19.g1863.t1	PSC76166.1
OG0002966	scaffold19.g1864.t1	PSC74827.1
OG0002967	scaffold19.g1865.t1	PSC75018.1
OG0002968	scaffold19.g1869.t1	PSC74810.1
OG0002969	scaffold19.g1872.t1	PSC74835.1
OG0002970	scaffold19.g1878.t1	PSC70789.1
OG0002971	scaffold19.g1879.t1	PSC70802.1
OG0002972	scaffold19.g1880.t1	PSC70807.1
OG0002973	scaffold18.g1886.t1	PSC69759.1
OG0002974	scaffold18.g1887.t1	PSC69747.1
OG0002975	scaffold18.g1888.t1	PSC69746.1
OG0002976	scaffold18.g1889.t1	PSC69791.1
OG0002977	scaffold18.g1890.t1	PSC69788.1
OG0002979	scaffold18.g1892.t1	PSC69827.1
OG0002980	scaffold18.g1893.t1	PSC69797.1
OG0002981	scaffold18.g1894.t1	PSC69751.1
OG0002982	scaffold18.g1896.t1	PSC69778.1
OG0002983	scaffold18.g1898.t1	PSC69780.1
OG0002984	scaffold18.g1899.t1	PSC69740.1
OG0002985	scaffold18.g1900.t1	PSC69792.1
OG0002986	scaffold18.g1901.t1	PSC69786.1
OG0002987	scaffold18.g1903.t1	PSC69715.1
OG0002988	scaffold18.g1904.t1	PSC69810.1, PSC69809.1
OG0002989	scaffold18.g1905.t1	PSC69824.1
OG0002990	scaffold18.g1906.t1	PSC69789.1
OG0002991	scaffold18.g1909.t1	PSC75264.1
OG0002992	scaffold18.g1910.t1	PSC75654.1
OG0002993	scaffold18.g1911.t1	PSC75683.1
OG0002994	scaffold18.g1912.t1	PSC75899.1
OG0002995	scaffold18.g1916.t1	PSC75241.1
OG0002996	scaffold18.g1917.t1	PSC75829.1
OG0002997	scaffold18.g1918.t1	PSC68950.1
OG0002998	scaffold18.g1920.t1	PSC69750.1
OG0002999	scaffold18.g1921.t1	PSC75779.1
OG0003000	scaffold18.g1922.t1	PSC75749.1
OG0003001	scaffold18.g1923.t1	PSC75943.1
OG0003002	scaffold18.g1925.t1	PSC75605.1
OG0003003	scaffold18.g1926.t1	PSC75761.1
OG0003004	scaffold18.g1927.t1	PSC75859.1
OG0003005	scaffold18.g1928.t1	PSC72390.1
OG0003006	scaffold18.g1931.t1	PSC72511.1
OG0003007	scaffold18.g1933.t1	PSC68574.1
OG0003008	scaffold18.g1935.t1	PSC73843.1
OG0003009	scaffold18.g1937.t1	PSC67280.1
OG0003010	scaffold18.g1940.t1	PSC72582.1
OG0003011	scaffold18.g1943.t1	PSC72428.1
OG0003012	scaffold18.g1957.t1	PSC72420.1
OG0003013	scaffold18.g1958.t1	PSC72563.1
OG0003014	scaffold18.g1959.t1	PSC72514.1
OG0003015	scaffold18.g1961.t1	PSC72641.1
OG0003016	scaffold18.g1962.t1	PSC72701.1
OG0003017	scaffold18.g1963.t1	PSC72906.1
OG0003018	scaffold18.g1967.t1	PSC72902.1
OG0003019	scaffold18.g1970.t1	PSC73799.1
OG0003020	scaffold18.g1971.t1	PSC71471.1
OG0003021	scaffold18.g1974.t1	PSC71537.1
OG0003022	scaffold18.g1977.t1	PSC75340.1
OG0003023	scaffold18.g1981.t1	PSC68130.1
OG0003024	scaffold18.g1983.t1	PSC75519.1
OG0003025	scaffold18.g1984.t1	PSC75680.1
OG0003026	scaffold18.g1987.t1	PSC75422.1
OG0003027	scaffold18.g1988.t1	PSC72409.1
OG0003028	scaffold18.g1992.t1	PSC72523.1
OG0003029	scaffold18.g1993.t1	PSC72709.1
OG0003030	scaffold18.g1994.t1	PSC71593.1
OG0003031	scaffold18.g2009.t1	PSC72904.1
OG0003032	scaffold18.g2010.t1	PSC71665.1
OG0003033	scaffold18.g2011.t1	PSC71587.1
OG0003034	scaffold18.g2012.t1	PSC71638.1
